symbol,timeframe,tp100_entradas,tp100_wins,tp100_win_rate,tp100_score,tp100_target_efficiency,tp200_entradas,tp200_wins,tp200_win_rate,tp200_score,tp200_target_efficiency,tp300_entradas,tp300_wins,tp300_win_rate,tp300_score,tp300_target_efficiency,tp400_entradas,tp400_wins,tp400_win_rate,tp400_score,tp400_target_efficiency,tp500_entradas,tp500_wins,tp500_win_rate,tp500_score,tp500_target_efficiency,entradas_media_por_alvo,favor_media,contra_media,favor_apos_voltar_media,favor_contra_ratio,recovery_favor_ratio,stop_curto,stop_sugerido,stop_folgado,best_target,best_target_win_rate,best_target_score,best_target_entries,win_rate_decay_100_to_500,score_decay_100_to_500
AUDCAD,D1,11,11,100.0,100.0,100.0,11,11,100.0,200.0,200.0,11,11,100.0,300.0,300.0,11,11,100.0,400.0,400.0,11,11,100.0,500.0,500.0,11.0,12872.819792219148,523.0903757632025,10327.546965794962,24.60916963615085,0.8022754246926183,660,790,1050,500,100.0,500.0,11,0.0,-400.0
AUDCAD,H1,17131,16976,99.09520751853366,98.59400098300122,99.09520751853366,17131,16731,97.665051660732,194.0366671007352,195.330103321464,17131,16275,95.00321055396648,282.24167814953967,285.00963166189945,17131,15931,92.995154982196,368.1003112665974,371.980619928784,17131,15314,89.39349716887513,441.0920518117147,446.9674858443756,17131.0,1497.321863652969,55.39463974326548,1462.273524083864,27.030085773018744,0.9765926482335768,70,90,120,500,89.39349716887513,441.0920518117147,17131,9.701710349658526,-342.4980508287136
AUDCAD,H4,218,217,99.54128440366972,98.44649151035156,99.54128440366972,218,214,98.1651376146789,191.9511036560852,196.3302752293578,218,211,96.78899082568807,282.7034222238372,290.3669724770642,218,207,94.95412844036696,367.7737919349682,379.81651376146783,218,201,92.20183486238533,442.3976951255182,461.0091743119266,218.0,2130.1458999689107,238.66485074335475,2010.6001965957123,8.925260227156832,0.9438791007808962,300,360,480,500,92.20183486238533,442.3976951255182,218,7.339449541284395,-343.95120361516666
AUDCAD,M15,61831,59135,95.63972764470896,93.90922933561144,95.63972764470896,61831,55280,89.40499102392005,174.60505088207682,178.8099820478401,61831,50699,81.99608610567515,238.8428921534967,245.98825831702544,61831,46287,74.86050686548819,289.46470338309086,299.4420274619528,61831,41803,67.60848118257832,325.18690883032303,338.0424059128916,61831.0,866.4142359448546,39.68784901699105,841.5669081378709,21.830717899377643,0.971321653341882,50,60,80,500,67.60848118257832,325.18690883032303,61831,28.03124646213064,-231.2776794947116
AUDCAD,M30,54634,53351,97.651645495479,96.4950479620534,97.651645495479,54634,50844,93.06292784712817,182.70925035389544,186.1258556942564,54634,46796,85.65362228648826,249.8950746014836,256.9608668594648,54634,43744,80.06735732327854,310.4523231832118,320.2694292931142,54634,40869,74.80506644214225,361.61647402863525,374.0253322107112,54634.0,1063.3637544733242,49.25140268213121,1051.434416809699,21.590527305682816,0.9887815081015976,70,80,100,500,74.80506644214225,361.61647402863525,54634,22.84657905333676,-265.1214260665819
AUDCAD,M5,19741,18537,93.90101818550224,91.50941054052844,93.90101818550224,19741,16820,85.20338382047515,164.60453680127554,170.4067676409503,19741,15155,76.76916063016058,221.1979198806397,230.3074818904817,19741,13354,67.64601590598247,257.8970220720631,270.58406362392986,19741,11587,58.69510156527025,277.27852382542414,293.47550782635125,19741.0,784.2268882115619,39.21322800616896,743.3134072504471,19.999039305516742,0.947829535588398,50,60,80,500,58.69510156527025,277.27852382542414,19741,35.20591662023199,-185.7691132848957
AUDCHF,H1,6660,6648,99.81981981981984,99.7257495475466,99.81981981981984,6660,6618,99.36936936936937,198.4094927857824,198.7387387387388,6660,6597,99.05405405405403,296.6682932327276,297.1621621621621,6660,6543,98.24324324324324,392.05578781830894,392.97297297297297,6660,6412,96.27627627627628,479.4372624210678,481.38138138138135,6660.0,1328.2194845414997,52.20900111164509,1282.9343327650142,25.440430888071585,0.9659053700803948,70,80,110,500,96.27627627627628,479.4372624210678,6660,3.543543543543564,-379.7115128735212
AUDCHF,H4,263,263,100.0,100.0,100.0,263,263,100.0,200.0,200.0,263,263,100.0,300.0,300.0,263,263,100.0,400.0,400.0,263,263,100.0,500.0,500.0,263.0,2821.7932036929824,234.7946339623116,2402.443230331772,12.018133276989238,0.8513888357186334,300,360,470,500,100.0,500.0,263,0.0,-400.0
AUDCHF,M15,58340,54551,93.50531367843676,91.07811013266928,93.50531367843676,58340,48330,82.84196091875215,159.27159470814755,165.6839218375043,58340,40445,69.32636270140556,196.5156921022348,207.97908810421663,58340,35835,61.42440863901268,231.2811088771124,245.6976345560508,58340,31346,53.7298594446349,251.3571535138982,268.6492972231745,58340.0,699.9426190854693,37.372144328338834,680.1256219868269,18.72899272028077,0.9716876833053736,50,60,80,500,53.7298594446349,251.3571535138982,58340,39.77545423380187,-160.27904338122892
AUDCHF,M30,63274,60405,95.46575212567564,93.97586436189415,95.46575212567564,63274,54764,86.5505578910769,168.68182513392088,173.1011157821538,63274,47996,75.85422132313431,219.6287130265472,227.56266396940293,63274,43828,69.26699750292379,266.9695733318435,277.06799001169514,63274,40213,63.55375035559629,305.79304535742926,317.7687517779815,63274.0,1092.4644109980875,32.8585424766499,1067.0301408458913,33.247500607830446,0.9767184451071173,50,50,70,500,63.55375035559629,305.79304535742926,63274,31.912001770079343,-211.8171809955351
AUDCHF,M5,35963,32871,91.4022745599644,89.41937029108007,91.4022745599644,35963,28818,80.13235825709756,155.6826172253276,160.26471651419513,35963,23410,65.09468064399522,187.2337840771005,195.28404193198568,35963,18904,52.56513639017879,199.320583101822,210.2605455607152,35963,14971,41.6288963657092,194.6822805308682,208.144481828546,35963.0,578.3384206948983,23.06312620371501,555.9530707362507,25.076323806295747,0.9612936834929418,50,50,50,400,52.56513639017879,199.320583101822,35963,49.7733781942552,-105.26291023978814
