ATIVO	SPREAD	LOTE_MINIMO
ADAUSD	40	115
AUDCAD	48	0.01
AUDCHF	25	0.01
AUDJPY	37	0.01
AUDNOK	1230	0.01
AUDNZD	39	0.01
AUDPLN	209	0.01
AUDSGD	190	0.01
AUDUSD	16	0.01
AUS_IDX	20	1
AVEUSD	70	0.1
BATUSD	222	100
BCHUSD	94	1
CADCHF	37	0.01
CADJPY	59	0.01
CADPLN	623	0.01
CHE_IDX	4480	1
CHFDKK	683	0.01
CHFPLN	894	0.01
CHFSGD	244	0.01
CHI_IDX	14858	0.1
CMPUSD	499	0.1
DOLLAR_IDX	42	100
DSHUSD	1552	1
ESP_IDX	18583	1
EURAUD	35	0.01
EURCHF	26	0.01
EURGBP	16	0.01
EURHKD	600	0.01
EURHUF	842	0.01
EURJPY	45	0.01
EURMXN	1159	0.01
EURNOK	639	0.01
EURNZD	54	0.01
EURPLN	600	0.01
EURSEK	1120	0.01
EURTRY	9572	0.01
EURUSD	13	0.01
EURZAR	3174	0.01
EUS_IDX	2922	1
FRA_IDX	1201	1
GBPAUD	32	0.01
GBPCAD	55	0.01
GBPCHF	35	0.01
GBPDKK	887	0.01
GBPJPY	51	0.01
GBPNZD	69	0.01
GBPPLN	2100	0.01
GBPSGD	390	0.01
GBPUSD	18	0.01
GBPZAR	500	0.01
GOLD	37	0.01
HKDJPY	60	0.01
HKG_IDX	11000	0.1
JPN_IDX	6962	1
LNKUSD	34	4
LTCUSD	31	10
MXNJPY	980	0.01
NLD_IDX	458	20
NZDCAD	47	0.01
NZDCHF	30	0.01
NZDJPY	45	0.01
NZDPLN	529	0.01
NZDSGD	174	0.01
NZDUSD	19	0.01
PLN_IDX	2055	1
PLNDKK	326	0.01
SEKJPY	92	0.01
SGDJPY	231	0.01
TRXUSD	180	2500
TRYJPY	63	0.01
UNIUSD	40	5
USA30_IDX	2134
USA500_IDX	653
USATECH_IDX	1161
USDCAD	23	0.01
USDCHF	18	0.01
USDCNH	157	0.01
USDCZK	2140	0.01
USDDKK	575	0.01
USDHKD	124	0.01
USDHUF	880	0.01
USDILS	1170	0.01
USDNOK	1176	0.01
USDPLN	406	0.01
USDRON	1809	0.01
USDSEK	1088	0.01
USDSGD	228	0.01
USDTHB	5786	0.01
USDTRY	3545	0.01
USDZAR	2216	0.01
USSC2000_IDX	370	1
XAGEUR	61	0.5
XAGGBP	132	0.5
XAGHKD	1203	0.5
XAGSEK	2490	0.5
XAUUSD	57	0.5
XLMUSD	16	2500
ZARJPY	39	0.01
