name,path,currency_base,description
AUDUSD,Markets\Forex\Majors\AUDUSD,AUD,Australian Dollar vs US Dollar
EURUSD,Markets\Forex\Majors\EURUSD,EUR,Euro vs US Dollar
GBPUSD,Markets\Forex\Majors\GBPUSD,GBP,Great Britain Pound vs US Dollar
USDCAD,Markets\Forex\Majors\USDCAD,USD,US Dollar vs Canadian Dollar
USDCHF,Markets\Forex\Majors\USDCHF,USD,US Dollar vs Swiss Franc
USDJPY,Markets\Forex\Majors\USDJPY,USD,US Dollar vs Japanese Yen
AUDNZD,Markets\Forex\Minors\AUDNZD,AUD,Australian Dollar vs New Zealand Dollar
NZDUSD,Markets\Forex\Minors\NZDUSD,NZD,New Zealand Dollar vs US Dollar
EURNZD,Markets\Forex\Minors\EURNZD,EUR,Euro vs New Zealand Dollar
GBPNZD,Markets\Forex\Minors\GBPNZD,GBP,Great Britain Pound vs New Zealand Dollar
NZDJPY,Markets\Forex\Minors\NZDJPY,NZD,New Zealand Dollar vs Japanese Yen
NZDCAD,Markets\Forex\Minors\NZDCAD,NZD,New Zealand Dollar vs Canadian Dollar
NZDCHF,Markets\Forex\Minors\NZDCHF,NZD,New Zealand Dollar vs Swiss Franc
AUDCAD,Markets\Forex\Crosses\AUDCAD,AUD,Australian Dollar vs Canadian Dollar
AUDCHF,Markets\Forex\Crosses\AUDCHF,AUD,Australian Dollar vs Swiss Franc
EURAUD,Markets\Forex\Crosses\EURAUD,EUR,Euro vs Australian Dollar
EURCHF,Markets\Forex\Crosses\EURCHF,EUR,Euro vs Swiss Franc
EURGBP,Markets\Forex\Crosses\EURGBP,EUR,Euro vs Great Britain Pound
GBPAUD,Markets\Forex\Crosses\GBPAUD,GBP,Great Britain Pound vs Australian Dollar
GBPCHF,Markets\Forex\Crosses\GBPCHF,GBP,Great Britain Pound vs Swiss Franc
AUDJPY,Markets\Forex\Crosses\AUDJPY,AUD,Australian Dollar vs Japanese Yen
CADCHF,Markets\Forex\Crosses\CADCHF,CAD,Canadian Dollar vs Swiss Franc
CADJPY,Markets\Forex\Crosses\CADJPY,CAD,Canadian Dollar vs Japanese Yen
CHFJPY,Markets\Forex\Crosses\CHFJPY,CHF,Swiss Franc vs Japanese Yen
EURCAD,Markets\Forex\Crosses\EURCAD,EUR,Euro vs Canadian Dollar
EURJPY,Markets\Forex\Crosses\EURJPY,EUR,Euro vs Japanese Yen
GBPCAD,Markets\Forex\Crosses\GBPCAD,GBP,Great Britain Pound vs Canadian Dollar
GBPJPY,Markets\Forex\Crosses\GBPJPY,GBP,Great Britain Pound vs Japanese Yen
AUDCNH,Markets\Forex\Crosses\AUDCNH,AUD,Australian Dollar vs Chinese Yuan
CNHJPY,Markets\Forex\Crosses\CNHJPY,CNH,Chinese Yuan vs Japanese Yen
AUDSGD,Markets\Forex\Exotics\AUDSGD,AUD,Australian Dollar vs Singapore Dollar
CHFSGD,Markets\Forex\Exotics\CHFSGD,CHF,Swiss Franc vs Singapore Dollar
EURCZK,Markets\Forex\Exotics\EURCZK,EUR,Euro vs Czech Republic Koruna
EURHUF,Markets\Forex\Exotics\EURHUF,EUR,Euro vs Hungarian Forint
EURMXN,Markets\Forex\Exotics\EURMXN,EUR,Euro vs Mexican Peso
EURNOK,Markets\Forex\Exotics\EURNOK,EUR,Euro vs Norwegian Krone
EURPLN,Markets\Forex\Exotics\EURPLN,EUR,Euro vs Polish Zloty
EURSEK,Markets\Forex\Exotics\EURSEK,EUR,Euro vs Swedish Krona
EURSGD,Markets\Forex\Exotics\EURSGD,EUR,Euro vs Singapore Dollar
EURTRY,Markets\Forex\Exotics\EURTRY,EUR,Euro vs Turkish Lira
EURZAR,Markets\Forex\Exotics\EURZAR,EUR,Euro vs South African Rand
GBPMXN,Markets\Forex\Exotics\GBPMXN,GBP,Great Britain Pound vs Mexican Peso
GBPNOK,Markets\Forex\Exotics\GBPNOK,GBP,Great Britain Pound vs Norwegian Krone
GBPSEK,Markets\Forex\Exotics\GBPSEK,GBP,Great Britain Pound vs Swedish Krona
GBPSGD,Markets\Forex\Exotics\GBPSGD,GBP,Great Britain Pound vs Singapore Dollar
GBPTRY,Markets\Forex\Exotics\GBPTRY,GBP,Great Britain Pound vs Turkish Lira
NOKJPY,Markets\Forex\Exotics\NOKJPY,NOK,Norwegian Krone vs Japanese Yen
NOKSEK,Markets\Forex\Exotics\NOKSEK,NOK,Norwegian Krone vs Swedish Krona
SEKJPY,Markets\Forex\Exotics\SEKJPY,SEK,Swedish Krona vs Japanese Yen
SGDJPY,Markets\Forex\Exotics\SGDJPY,SGD,Singapore Dollar vs Japanese Yen
USDCNH,Markets\Forex\Exotics\USDCNH,USD,US Dollar vs Chinese Yuan
USDCZK,Markets\Forex\Exotics\USDCZK,USD,US Dollar vs Czech Republic Koruna
USDHUF,Markets\Forex\Exotics\USDHUF,USD,US Dollar vs Hungarian Forint
USDMXN,Markets\Forex\Exotics\USDMXN,USD,US Dollar vs Mexican Peso
USDNOK,Markets\Forex\Exotics\USDNOK,USD,US Dollar vs Norwegian Krone
USDPLN,Markets\Forex\Exotics\USDPLN,USD,US Dollar vs Polish Zloty
USDSEK,Markets\Forex\Exotics\USDSEK,USD,US Dollar vs Swedish Krona
USDSGD,Markets\Forex\Exotics\USDSGD,USD,US Dollar vs Singapore Dollar
USDTHB,Markets\Forex\Exotics\USDTHB,USD,US Dollar vs Thai Baht
USDTRY,Markets\Forex\Exotics\USDTRY,USD,US Dollar vs Turkish Lira
USDZAR,Markets\Forex\Exotics\USDZAR,USD,US Dollar vs South African Rand
ZARJPY,Markets\Forex\Exotics\ZARJPY,ZAR,South African Rand vs Japanese Yen
USDHKD,Markets\Forex\Exotics\USDHKD,USD,US Dollar vs Hong Kong Dollar
AUDDKK,Markets\Forex\Exotics\AUDDKK,AUD,Australian Dollar vs Danish Krone
AUDHUF,Markets\Forex\Exotics\AUDHUF,AUD,Australian Dollar vs Hungarian Forint
AUDNOK,Markets\Forex\Exotics\AUDNOK,AUD,Australian Dollar vs Norwegian Krone
AUDPLN,Markets\Forex\Exotics\AUDPLN,AUD,Australian Dollar vs Polish Zloty
CADMXN,Markets\Forex\Exotics\CADMXN,CAD,Canadian Dollar vs Mexican Peso
CADSGD,Markets\Forex\Exotics\CADSGD,CAD,Canadian Dollar vs Singapore Dollar
CHFDKK,Markets\Forex\Exotics\CHFDKK,CHF,Swiss Franc vs Danish Krone
CHFHUF,Markets\Forex\Exotics\CHFHUF,CHF,Swiss Franc vs Hungarian Forint
CHFNOK,Markets\Forex\Exotics\CHFNOK,CHF,Swiss Franc vs Norwegian Krone
CHFPLN,Markets\Forex\Exotics\CHFPLN,CHF,Swiss Franc vs Polish Zloty
CHFSEK,Markets\Forex\Exotics\CHFSEK,CHF,Swiss Franc vs Swedish Krona
EURCNH,Markets\Forex\Exotics\EURCNH,EUR,Euro vs Chinese Yuan
EURDKK,Markets\Forex\Exotics\EURDKK,EUR,Euro vs Danish Krone
GBPCNH,Markets\Forex\Exotics\GBPCNH,GBP,Great British Pound vs Chinese Yuan
GBPDKK,Markets\Forex\Exotics\GBPDKK,GBP,Great British Pound vs Danish Krone
GBPHUF,Markets\Forex\Exotics\GBPHUF,GBP,Great British Pound vs Hungarian Forint
MXNJPY,Markets\Forex\Exotics\MXNJPY,MXN,Mexican Peso vs Japanese Yen
NZDCNH,Markets\Forex\Exotics\NZDCNH,NZD,New Zealand Dollar vs Chinese Yuan
NZDHUF,Markets\Forex\Exotics\NZDHUF,NZD,New Zealand Dollar vs Hungarian Forint
NZDSGD,Markets\Forex\Exotics\NZDSGD,NZD,New Zealand Dollar vs Singapore Dollar
USDDKK,Markets\Forex\Exotics\USDDKK,USD,US Dollar vs Danish Krone
EURILS,Markets\Forex\Exotics\EURILS,EUR,Euro vs Israeli New Shekel
USDILS,Markets\Forex\Exotics\USDILS,USD,US Dollar vs Israeli New Shekel
USDRON,Markets\Forex\Exotics\USDRON,USD,US Dollar vs Romanian Leu
USDAED,Markets\Forex\Exotics\USDAED,USD,US Dollar vs UAE Dirham
XAGEUR,Markets\Commodities\Silver\XAGEUR,XAG,Silver vs Euro
XAGUSD,Markets\Commodities\Silver\XAGUSD,XAG,Silver vs US Dollar
