path,name,extension,size_mb,modified_at,category
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_FOREX_CROSSES_M30.pkl,model_SHARD_FOREX_CROSSES_M30.pkl,.pkl,21.604,2026-04-12T15:11:12.437228203,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_EXOTICS_WORLD_M30.pkl,model_SHARD_EXOTICS_WORLD_M30.pkl,.pkl,21.428,2026-04-12T14:45:02.716721296,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_FOREX_MAJORS_M5.pkl,model_SHARD_FOREX_MAJORS_M5.pkl,.pkl,20.547,2026-04-12T15:40:17.331873894,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_OTHERS_M5.pkl,model_SHARD_OTHERS_M5.pkl,.pkl,20.47,2026-04-12T16:11:27.227998972,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_FOREX_MAJORS_M30.pkl,model_SHARD_FOREX_MAJORS_M30.pkl,.pkl,20.341,2026-04-12T15:26:45.739480495,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_OTHERS_M30.pkl,model_SHARD_OTHERS_M30.pkl,.pkl,20.336,2026-04-12T15:55:05.593807697,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_CRYPTO_M30.pkl,model_SHARD_CRYPTO_M30.pkl,.pkl,20.323,2026-04-12T14:13:55.977970123,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_CRYPTO_M15.pkl,model_SHARD_CRYPTO_M15.pkl,.pkl,19.872,2026-04-12T14:10:47.151449203,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_METALS_ELITE_M30.pkl,model_SHARD_METALS_ELITE_M30.pkl,.pkl,3.536,2026-04-12T15:46:20.832178831,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_CRYPTO_M5.pkl,model_SHARD_CRYPTO_M5.pkl,.pkl,3.299,2026-04-12T14:32:47.503390074,build_models_shard
BACKUP\BUILD_MODELS\models_pkl\model_SHARD_OTHERS_M15.pkl,model_SHARD_OTHERS_M15.pkl,.pkl,2.788,2026-04-12T15:52:15.409925938,build_models_shard
