expert,model_type,file_name,path,exists,size_mb,accuracy,precision,recall,f1,auc,training_time,n_samples,source_timestamp
ichimoku_expert,random_forest,ichimoku_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\ichimoku_expert_random_forest.pkl,True,3.807381,0.6059822747415067,0.6167048054919908,0.4240755310778914,0.5025641025641026,0.6420163521454731,0.43923115730285645,13539,2026-03-22T09:47:27.071935
fibonacci_expert,random_forest,fibonacci_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\fibonacci_expert_random_forest.pkl,True,3.763131,0.5796084226080532,0.5761741122565864,0.3957513768686074,0.46921641791044777,0.6237595580870895,0.45096325874328613,13534,2026-03-22T09:47:27.071935
trend_master,random_forest,trend_master_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\trend_master_random_forest.pkl,True,3.203694,0.5401344404903123,0.5473411154345007,0.08931216931216931,0.15356622998544395,0.5617531080116871,1.5251436233520508,50580,2026-03-22T09:47:27.071935
zone_mapper,random_forest,zone_mapper_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\zone_mapper_random_forest.pkl,True,3.130709,0.5517750387482471,0.6141479099678456,0.12018247601069687,0.20102618076568873,0.5570090003522346,1.1519625186920166,67745,2026-03-22T09:47:27.071935
volume_expert,xgboost,volume_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\volume_expert_xgboost.pkl,True,0.177433,0.5425358780884746,0.5301659125188537,0.2216267339218159,0.3125833703868386,0.5483194532870732,0.20782852172851562,33794,2026-03-22T09:47:27.071935
swing_expert,random_forest,swing_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\swing_expert_random_forest.pkl,True,3.198003,0.5457614855902568,0.569060773480663,0.13232271325796505,0.21471753179070252,0.5479399419406922,0.6480247974395752,41465,2026-03-22T09:47:27.071935
pullback_hunter,gradient_boosting,pullback_hunter_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\pullback_hunter_gradient_boosting.pkl,True,0.357574,0.5434059844846694,0.560478199718706,0.12547229219143577,0.20504244918960637,0.54221477750959,8.170390844345093,67674,2026-03-22T09:47:27.071935
microstructure_expert,random_forest,microstructure_expert_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\microstructure_expert_random_forest.pkl,True,3.838188,0.540137869690905,0.5440451021846371,0.12197819560752093,0.1992772328342798,0.539725504363742,1.287731409072876,67452,2026-03-22T09:47:27.071935
risk_guardian,xgboost,risk_guardian_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\risk_guardian_xgboost.pkl,True,0.173215,0.5331956329300679,0.5077062556663645,0.17604526878340146,0.26143790849673204,0.5325011927488212,0.18296194076538086,33890,2026-03-22T09:47:27.071935
market_microstructure_expert,gradient_boosting,market_microstructure_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\market_microstructure_expert_gradient_boosting.pkl,True,0.277181,0.5316642120765832,0.5011286681715575,0.34850863422291994,0.4111111111111111,0.5317749419195823,2.13334321975708,6786,2026-03-22T09:47:27.071935
flow_aggressor,random_forest,flow_aggressor_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\flow_aggressor_random_forest.pkl,True,2.81861,0.5397001255631878,0.5378739656269892,0.13304991339946465,0.21332996718000505,0.5298333849861037,0.7636425495147705,67693,2026-03-22T09:47:27.071935
stats_quant,random_forest,stats_quant_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\stats_quant_random_forest.pkl,True,3.134248,0.5349751502114086,0.5335570469798657,0.07536735661241903,0.13207808389865708,0.5235095838268713,2.0093324184417725,67403,2026-03-22T09:47:27.071935
correlation_expert,xgboost,correlation_expert_xgboost.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\correlation_expert_xgboost.pkl,True,0.177498,0.531288647044274,0.5014084507042254,0.18766473379019505,0.2731108553893364,0.5147240382003074,0.10631585121154785,20211,2026-03-22T09:47:27.071935
exhaustion_detector,random_forest,exhaustion_detector_random_forest.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\exhaustion_detector_random_forest.pkl,True,2.187365,0.5322426118358022,0.5042689434364994,0.1485148514851485,0.22945247055966977,0.5136416956393709,0.6281008720397949,67841,2026-03-22T09:47:27.071935
ml_expert,gradient_boosting,ml_expert_gradient_boosting.pkl,BACKUP\OMNIS_Copia\modelos_trading\models\ml_expert_gradient_boosting.pkl,True,0.272025,0.5280148423005566,0.4897959183673469,0.13280632411067195,0.208955223880597,0.5135117056856187,1.382986307144165,13472,2026-03-22T09:47:27.071935
