path,symbol,timeframe,extension,bytes
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_H1.csv,AUDJPY,H1,.csv,934166
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_H4.csv,AUDJPY,H4,.csv,175327
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_M15.csv,AUDJPY,M15,.csv,2745429
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_M30.csv,AUDJPY,M30,.csv,1380303
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_M5.csv,AUDJPY,M5,.csv,5923336
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_H1.csv,AUDUSD,H1,.csv,713137
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_H4.csv,AUDUSD,H4,.csv,180286
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_M15.csv,AUDUSD,M15,.csv,2820436
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_M30.csv,AUDUSD,M30,.csv,1420918
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_M5.csv,AUDUSD,M5,.csv,6181440
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_H1.csv,BTCUSD,H1,.csv,1084817
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_H4.csv,BTCUSD,H4,.csv,1175107
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_M15.csv,BTCUSD,M15,.csv,5261194
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_M30.csv,BTCUSD,M30,.csv,2148242
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_M5.csv,BTCUSD,M5,.csv,7055351
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_H1.csv,ETHUSD,H1,.csv,884128
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_H4.csv,ETHUSD,H4,.csv,864638
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_M15.csv,ETHUSD,M15,.csv,3516104
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_M30.csv,ETHUSD,M30,.csv,1759558
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_M5.csv,ETHUSD,M5,.csv,6147479
BACKUP\OMNIS_Copia\data\historical\eurcad\ETHUSD_H1.csv,ETHUSD,H1,.csv,1527142
BACKUP\OMNIS_Copia\data\historical\eurcad\EURCAD_H4.csv,EURCAD,H4,.csv,182189
BACKUP\OMNIS_Copia\data\historical\eurcad\EURCAD_M15.csv,EURCAD,M15,.csv,3116341
BACKUP\OMNIS_Copia\data\historical\eurcad\EURCAD_M30.csv,EURCAD,M30,.csv,1695311
BACKUP\OMNIS_Copia\data\historical\eurcad\EURCAD_M5.csv,EURCAD,M5,.csv,6202742
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_H1.csv,EURCHF,H1,.csv,974260
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_H4.csv,EURCHF,H4,.csv,437030
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_M15.csv,EURCHF,M15,.csv,3097146
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_M30.csv,EURCHF,M30,.csv,1686413
BACKUP\OMNIS_Copia\data\historical\eurchf\EURCHF_M5.csv,EURCHF,M5,.csv,6190709
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_H1.csv,EURGBP,H1,.csv,974766
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_H4.csv,EURGBP,H4,.csv,438362
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_M15.csv,EURGBP,M15,.csv,3093188
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_M30.csv,EURGBP,M30,.csv,1684406
BACKUP\OMNIS_Copia\data\historical\eurgbp\EURGBP_M5.csv,EURGBP,M5,.csv,6179900
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_H1.csv,EURJPY,H1,.csv,2113690
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_H4.csv,EURJPY,H4,.csv,1576363
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_M15.csv,EURJPY,M15,.csv,4253332
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_M30.csv,EURJPY,M30,.csv,2828248
BACKUP\OMNIS_Copia\data\historical\eurjpy\EURJPY_M5.csv,EURJPY,M5,.csv,6210312
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_H1.csv,EURUSD,H1,.csv,6331610
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_H4.csv,EURUSD,H4,.csv,2986034
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_M15.csv,EURUSD,M15,.csv,6164579
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_M30.csv,EURUSD,M30,.csv,6176712
BACKUP\OMNIS_Copia\data\historical\eurusd\EURUSD_M5.csv,EURUSD,M5,.csv,6203808
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_H1.csv,GBPJPY,H1,.csv,981055
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_H4.csv,GBPJPY,H4,.csv,441993
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_M15.csv,GBPJPY,M15,.csv,3127753
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_M30.csv,GBPJPY,M30,.csv,1697126
BACKUP\OMNIS_Copia\data\historical\gbpjpy\GBPJPY_M5.csv,GBPJPY,M5,.csv,6164239
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_H1.csv,GBPUSD,H1,.csv,971273
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_H4.csv,GBPUSD,H4,.csv,438655
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_M15.csv,GBPUSD,M15,.csv,3084913
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_M30.csv,GBPUSD,M30,.csv,1680147
BACKUP\OMNIS_Copia\data\historical\gbpusd\GBPUSD_M5.csv,GBPUSD,M5,.csv,6185795
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_H1.csv,GOLD,H1,.csv,923667
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_H4.csv,GOLD,H4,.csv,417325
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_M15.csv,GOLD,M15,.csv,2961738
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_M30.csv,GOLD,M30,.csv,1603864
BACKUP\OMNIS_Copia\data\historical\gold\GOLD_M5.csv,GOLD,M5,.csv,6226709
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_H1.csv,NZDUSD,H1,.csv,972518
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_H4.csv,NZDUSD,H4,.csv,436806
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_M15.csv,NZDUSD,M15,.csv,3085915
BACKUP\OMNIS_Copia\data\historical\nzdusd\NZDUSD_M30.csv,NZDUSD,M30,.csv,1679675
