path,symbol,timeframe,extension,bytes,folder_symbol,symbol_matches_folder
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_H1.csv,AUDJPY,H1,.csv,934166,AUDJPY,True
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_H4.csv,AUDJPY,H4,.csv,175327,AUDJPY,True
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_M15.csv,AUDJPY,M15,.csv,2745429,AUDJPY,True
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_M30.csv,AUDJPY,M30,.csv,1380303,AUDJPY,True
BACKUP\OMNIS_Copia\data\historical\audjpy\AUDJPY_M5.csv,AUDJPY,M5,.csv,5923336,AUDJPY,True
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_H1.csv,AUDUSD,H1,.csv,713137,AUDUSD,True
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_H4.csv,AUDUSD,H4,.csv,180286,AUDUSD,True
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_M15.csv,AUDUSD,M15,.csv,2820436,AUDUSD,True
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_M30.csv,AUDUSD,M30,.csv,1420918,AUDUSD,True
BACKUP\OMNIS_Copia\data\historical\audusd\AUDUSD_M5.csv,AUDUSD,M5,.csv,6181440,AUDUSD,True
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_H1.csv,BTCUSD,H1,.csv,1084817,BTCUSD,True
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_H4.csv,BTCUSD,H4,.csv,1175107,BTCUSD,True
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_M15.csv,BTCUSD,M15,.csv,5261194,BTCUSD,True
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_M30.csv,BTCUSD,M30,.csv,2148242,BTCUSD,True
BACKUP\OMNIS_Copia\data\historical\btcusd\BTCUSD_M5.csv,BTCUSD,M5,.csv,7055351,BTCUSD,True
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_H1.csv,ETHUSD,H1,.csv,884128,ETHUSD,True
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_H4.csv,ETHUSD,H4,.csv,864638,ETHUSD,True
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_M15.csv,ETHUSD,M15,.csv,3516104,ETHUSD,True
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_M30.csv,ETHUSD,M30,.csv,1759558,ETHUSD,True
BACKUP\OMNIS_Copia\data\historical\ethusd\ETHUSD_M5.csv,ETHUSD,M5,.csv,6147479,ETHUSD,True
BACKUP\OMNIS_Copia\data\historical\eurcad\ETHUSD_H1.csv,ETHUSD,H1,.csv,1527142,EURCAD,False
BACKUP\OMNIS_Copia\data\historical\eurcad\EURCAD_H4.csv,EURCAD,H4,.csv,182189,EURCAD,True
BACKUP\OMNIS_Copia\data\historical\eurcad\EURCAD_M15.csv,EURCAD,M15,.csv,3116341,EURCAD,True
BACKUP\OMNIS_Copia\data\historical\eurcad\EURCAD_M30.csv,EURCAD,M30,.csv,1695311,EURCAD,True
BACKUP\OMNIS_Copia\data\historical\eurcad\EURCAD_M5.csv,EURCAD,M5,.csv,6202742,EURCAD,True
