path,symbol,timeframe,extension,bytes
BACKUP\OMNIS_Copia\data\prepared\EURUSD_M15_10k.csv,EURUSD_M15,10K,.csv,659371
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDJPY_H1_prepared.csv,AUDJPY_H1,PREPARED,.csv,927509
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDJPY_H4_prepared.csv,AUDJPY_H4,PREPARED,.csv,174054
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDJPY_M15_prepared.csv,AUDJPY_M15,PREPARED,.csv,2725341
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDJPY_M30_prepared.csv,AUDJPY_M30,PREPARED,.csv,1370384
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDJPY_M5_prepared.csv,AUDJPY_M5,PREPARED,.csv,5879609
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDUSD_H1_prepared.csv,AUDUSD_H1,PREPARED,.csv,707934
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDUSD_H4_prepared.csv,AUDUSD_H4,PREPARED,.csv,196045
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDUSD_M15_prepared.csv,AUDUSD_M15,PREPARED,.csv,2799847
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDUSD_M30_prepared.csv,AUDUSD_M30,PREPARED,.csv,1410582
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\AUDUSD_M5_prepared.csv,AUDUSD_M5,PREPARED,.csv,6135894
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\BTCUSD_H1_prepared.csv,BTCUSD_H1,PREPARED,.csv,1079549
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\BTCUSD_H4_prepared.csv,BTCUSD_H4,PREPARED,.csv,1137429
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\BTCUSD_M15_prepared.csv,BTCUSD_M15,PREPARED,.csv,5201836
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\BTCUSD_M30_prepared.csv,BTCUSD_M30,PREPARED,.csv,2139198
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\BTCUSD_M5_prepared.csv,BTCUSD_M5,PREPARED,.csv,7023835
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\ETHUSD_H1_prepared.csv,ETHUSD_H1,PREPARED,.csv,877299
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\ETHUSD_H4_prepared.csv,ETHUSD_H4,PREPARED,.csv,846720
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\ETHUSD_M15_prepared.csv,ETHUSD_M15,PREPARED,.csv,3489084
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\ETHUSD_M30_prepared.csv,ETHUSD_M30,PREPARED,.csv,1746137
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\ETHUSD_M5_prepared.csv,ETHUSD_M5,PREPARED,.csv,6119855
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCAD_H1_prepared.csv,EURCAD_H1,PREPARED,.csv,1504103
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCAD_H4_prepared.csv,EURCAD_H4,PREPARED,.csv,180972
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCAD_M15_prepared.csv,EURCAD_M15,PREPARED,.csv,3094177
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCAD_M30_prepared.csv,EURCAD_M30,PREPARED,.csv,1683400
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCAD_M5_prepared.csv,EURCAD_M5,PREPARED,.csv,6158536
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCHF_H1_prepared.csv,EURCHF_H1,PREPARED,.csv,967274
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCHF_H4_prepared.csv,EURCHF_H4,PREPARED,.csv,433938
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCHF_M15_prepared.csv,EURCHF_M15,PREPARED,.csv,3074696
BACKUP\OMNIS_Copia\data\prepared\prepared_20260312_000013\EURCHF_M30_prepared.csv,EURCHF_M30,PREPARED,.csv,1674386
