expert,model,auc,accuracy,precision,recall,f1,sharpe,n_samples,model_path
ichimoku_expert,random_forest,0.6420163521454731,0.6059822747415067,0.6167048054919908,0.4240755310778914,0.5025641025641026,0.49599725377395965,13539,trained_models\ichimoku_expert_random_forest.pkl
ichimoku_expert,gradient_boosting,0.6257895880864661,0.5908419497784343,0.5906562847608454,0.4177812745869394,0.4894009216589862,0.43326307572980083,13539,trained_models\ichimoku_expert_gradient_boosting.pkl
fibonacci_expert,random_forest,0.6237595580870895,0.5796084226080532,0.5761741122565864,0.3957513768686074,0.46921641791044777,0.40673596139028545,13534,trained_models\fibonacci_expert_random_forest.pkl
fibonacci_expert,gradient_boosting,0.613414414986993,0.5796084226080532,0.5748031496062992,0.4020456333595594,0.47314814814814815,0.3860456751900925,13534,trained_models\fibonacci_expert_gradient_boosting.pkl
ichimoku_expert,xgboost,0.5870524800607964,0.5642540620384048,0.5477439664218258,0.4107002360346184,0.4694244604316547,0.30261308419840227,13539,trained_models\ichimoku_expert_xgboost.pkl
ichimoku_expert,lightgbm,0.5820810248643937,0.5616691285081241,0.5475113122171946,0.3808025177025964,0.4491879350348028,0.2875003067450357,13539,trained_models\ichimoku_expert_lightgbm.pkl
fibonacci_expert,lightgbm,0.5707451856170103,0.5570742519394163,0.5420560747663551,0.36506687647521635,0.43629525152797366,0.2556388751128531,13534,trained_models\fibonacci_expert_lightgbm.pkl
fibonacci_expert,xgboost,0.5636362042477466,0.5437753971185815,0.5192719486081371,0.3815892997639654,0.4399092970521542,0.2148232027326562,13534,trained_models\fibonacci_expert_xgboost.pkl
trend_master,random_forest,0.5617531080116871,0.5401344404903123,0.5473411154345007,0.08931216931216931,0.15356622998544395,0.20377509700399887,50580,trained_models\trend_master_random_forest.pkl
zone_mapper,random_forest,0.5570090003522346,0.5517750387482471,0.6141479099678456,0.12018247601069687,0.20102618076568873,0.21756807820096324,67745,trained_models\zone_mapper_random_forest.pkl
