,0
ret_h4,0.14352712
ret_d1,0.05511627
open_m15,0.04893537
dist_ema_m15,0.04796339
rsi_m15,0.042568147
alpha_mrs_m15,0.038479496
range_pct_h4,0.026674837
range_pct_d1,0.02182616
alpha_vam_h1,0.021800159
dist_ema_h1,0.02067085
alpha_mrs_h1,0.020430343
rsi_h1,0.01926865
high_m15,0.01849883
alpha_effort_d1,0.018440917
dist_ema_h4,0.018424418
alpha_effort_h4,0.017288527
open_h1,0.015292044
alpha_effort_m15,0.014869882
low_h1,0.014664844
ema_21_h1,0.014257904
alpha_rsi_gap_h1,0.0138612315
alpha_vam_m15,0.013634533
alpha_rsi_gap_h4,0.012803346
rsi_h4,0.012533688
ema_21_m15,0.012352263
ret_h1,0.012064099
range_pct_h1,0.011952277
alpha_mrs_h4,0.011936489
dist_ema_d1,0.011920068
close_h1,0.011893789
ema_21_h4,0.011838772
open_h4,0.011567876
alpha_mrs_d1,0.011366346
high_h4,0.01125794
low_h4,0.011232307
high_h1,0.010964057
low_d1,0.010803688
alpha_vam_h4,0.010774714
alpha_effort_h1,0.010659531
rsi_d1,0.010632238
close_h4,0.009768
alpha_rsi_gap_d1,0.008966226
low_m15,0.008941041
ema_21_d1,0.008862515
volume_h1,0.008608883
close_m15,0.008382955
volume_h4,0.008373042
high_d1,0.008321111
close_d1,0.008195021
alpha_vam_d1,0.008160078
open_d1,0.007535653
volume_d1,0.0069514355
range_pct_m15,0.0069469744
alpha_rsi_gap_m15,0.006704542
ret_m15,0.00660966
volume_m15,0.0036254122
decimals_h1,0.0
point_value_h1,0.0
point_value_m15,0.0
decimals_m15,0.0
decimals_h4,0.0
point_value_h4,0.0
point_value_d1,0.0
decimals_d1,0.0
