,0
ret_h1,0.083280414
ret_m15,0.07067815
low_h1,0.040882427
volume_h1,0.04063423
ema_21_h4,0.030184317
ema_21_d1,0.029540755
ret_h4,0.028453605
open_h1,0.025684725
low_m15,0.024978975
range_pct_h1,0.024808701
dist_ema_m15,0.023791563
range_pct_m15,0.023500184
close_m15,0.022282885
volume_m15,0.021729808
alpha_mrs_m15,0.020937027
alpha_mrs_h1,0.019311877
alpha_rsi_gap_m15,0.01874308
alpha_effort_h4,0.018378349
high_h4,0.018358834
high_h1,0.017619278
volume_h4,0.01731282
range_pct_h4,0.017273953
close_d1,0.016782632
close_h1,0.016386997
high_d1,0.015875045
low_d1,0.015734617
alpha_effort_m15,0.015105684
ema_21_m15,0.015085553
high_m15,0.014428668
volume_d1,0.013464104
dist_ema_h1,0.013235133
alpha_effort_h1,0.012707979
dist_ema_h4,0.011888742
open_m15,0.011757668
alpha_vam_m15,0.011213881
alpha_rsi_gap_d1,0.010922289
alpha_rsi_gap_h4,0.010697247
open_h4,0.010615475
open_d1,0.010591876
alpha_vam_d1,0.010442086
alpha_rsi_gap_h1,0.010329607
alpha_mrs_d1,0.009762344
low_h4,0.009606143
alpha_mrs_h4,0.009524053
close_h4,0.009029222
ema_21_h1,0.008430952
rsi_h1,0.008124681
rsi_m15,0.007998914
alpha_vam_h4,0.007954837
rsi_d1,0.006925588
alpha_effort_d1,0.0068509043
rsi_h4,0.006713214
alpha_vam_h1,0.0065469737
ret_d1,0.006273619
range_pct_d1,0.006159461
dist_ema_d1,0.0044678613
decimals_h1,0.0
point_value_h1,0.0
point_value_m15,0.0
decimals_m15,0.0
decimals_h4,0.0
point_value_h4,0.0
point_value_d1,0.0
decimals_d1,0.0
