Timeframe,Ativo,Linhas_Original,Linhas_Final,Linhas_Removidas,Status_Final,Nulos_Corrigidos,Erros_OHLC_Corrigidos
01,AUDCHF,2207,2207,0,✅ OK,0,0
01,AUDNZD,2207,2207,0,✅ OK,0,0
01,AUDPLN,2207,2207,0,✅ OK,0,0
01,AUDSGD,2207,2207,0,✅ OK,0,0
01,AUDUSD,2207,2207,0,✅ OK,0,0
01,AUS200,2207,2207,0,✅ OK,0,0
01,BTCAUD,2207,2207,0,✅ OK,0,0
01,CADCHF,2207,2207,0,✅ OK,0,0
01,CADJPY,2207,2207,0,✅ OK,0,0
01,CHFJPY,2207,2207,0,✅ OK,0,0
01,CHFPLN,2207,2207,0,✅ OK,0,0
01,CHFSGD,2207,2207,0,✅ OK,0,0
01,CN50,2207,2207,0,✅ OK,0,0
01,ETCUSD,2207,2207,0,✅ OK,0,0
01,EURAUD,2207,2207,0,✅ OK,0,0
01,EURCAD,2207,2207,0,✅ OK,0,0
01,EURCHF,2207,2207,0,✅ OK,0,0
01,EURCZK,2207,2207,0,✅ OK,0,0
01,EURDKK,2207,2207,0,✅ OK,0,0
01,EURGBP,2207,2207,0,✅ OK,0,0
01,EURHUF,2207,2207,0,✅ OK,0,0
01,EURJPY,2207,2207,0,✅ OK,0,0
01,EURMXN,2207,2207,0,✅ OK,0,0
01,EURNOK,2207,2207,0,✅ OK,0,0
01,EURNZD,2207,2207,0,✅ OK,0,0
01,EURPLN,2207,2207,0,✅ OK,0,0
01,EURSEK,2207,2207,0,✅ OK,0,0
01,EURSGD,2207,2207,0,✅ OK,0,0
01,EURTRY,2207,2207,0,✅ OK,0,0
01,EURUSD,2207,2207,0,✅ OK,0,0
01,EURZAR,2207,2207,0,✅ OK,0,0
01,EUSTX50-F,2207,2207,0,✅ OK,0,0
01,EUSTX50,2207,2207,0,✅ OK,0,0
01,FRA40-F,2207,2207,0,✅ OK,0,0
01,FRA40,2207,2207,0,✅ OK,0,0
01,GBPAUD,2207,2207,0,✅ OK,0,0
01,GBPCAD,2207,2207,0,✅ OK,0,0
01,GBPCHF,2207,2207,0,✅ OK,0,0
01,GBPNZD,2207,2207,0,✅ OK,0,0
01,GBPUSD,2207,2207,0,✅ OK,0,0
01,GER40-F,2207,2207,0,✅ OK,0,0
01,GER40,2207,2207,0,✅ OK,0,0
01,HK50-F,2207,2207,0,✅ OK,0,0
01,HK50,2207,2207,0,✅ OK,0,0
01,JPN225-F,2207,2207,0,✅ OK,0,0
01,JPN225,2207,2207,0,✅ OK,0,0
01,LTCUSD,2207,2207,0,✅ OK,0,0
01,MXNJPY,2207,2207,0,✅ OK,0,0
01,NAS100-F,2207,2207,0,✅ OK,0,0
01,NAS100,2207,2207,0,✅ OK,0,0
01,NZDCHF,2207,2207,0,✅ OK,0,0
01,NZDJPY,2207,2207,0,✅ OK,0,0
01,NZDSGD,2207,2207,0,✅ OK,0,0
01,NZDUSD,2207,2207,0,✅ OK,0,0
01,SCI25,2207,2207,0,✅ OK,0,0
01,SGDJPY,2207,2207,0,✅ OK,0,0
01,SPA35,2207,2207,0,✅ OK,0,0
01,TRXUSD,2207,2207,0,✅ OK,0,0
01,UK100-F,2207,2207,0,✅ OK,0,0
01,UK100,2207,2207,0,✅ OK,0,0
01,US2000,2207,2207,0,✅ OK,0,0
01,US30-F,2207,2207,0,✅ OK,0,0
01,US30,2207,2207,0,✅ OK,0,0
01,US500-F,2207,2207,0,✅ OK,0,0
01,US500,2207,2207,0,✅ OK,0,0
01,USDCAD,2207,2207,0,✅ OK,0,0
01,USDCHF,2207,2207,0,✅ OK,0,0
01,USDCNH,2207,2207,0,✅ OK,0,0
01,USDCZK,2207,2207,0,✅ OK,0,0
01,USDDKK,2207,2207,0,✅ OK,0,0
01,USDHKD,2207,2207,0,✅ OK,0,0
01,USDHUF,2207,2207,0,✅ OK,0,0
01,USDILS,2207,2207,0,✅ OK,0,0
01,USDJPY,2207,2207,0,✅ OK,0,0
01,USDMXN,2207,2207,0,✅ OK,0,0
01,USDNOK,2207,2207,0,✅ OK,0,0
01,USDPLN,2207,2207,0,✅ OK,0,0
01,USDRON,2207,2207,0,✅ OK,0,0
01,USDSEK,2207,2207,0,✅ OK,0,0
01,USDSGD,2207,2207,0,✅ OK,0,0
01,USDTHB,2207,2207,0,✅ OK,0,0
01,USDTRY,2207,2207,0,✅ OK,0,0
01,USDX-F,2207,2207,0,✅ OK,0,0
01,USDX,2207,2207,0,✅ OK,0,0
01,USDZAR,2207,2207,0,✅ OK,0,0
01,XAGUSD-F,2207,2207,0,✅ OK,0,0
01,XAGUSD,2207,2207,0,✅ OK,0,0
01,XAUUSD-F,2207,2207,0,✅ OK,0,0
01,XAUUSD,2207,2207,0,✅ OK,0,0
01,XPDUSD,2207,2207,0,✅ OK,0,0
01,XPTUSD,2207,2207,0,✅ OK,0,0
01,ZARJPY,2207,2207,0,✅ OK,0,0
04,CA60,1499,1499,0,✅ OK,0,0
05,EURX,1538,1538,0,✅ OK,0,0
05,JPYX,1538,1538,0,✅ OK,0,0
06,ETHAUD,2132,2132,0,✅ OK,0,0
07,COMPUSD,2104,2104,0,✅ OK,0,0
09,KSMUSD,2055,2055,0,✅ OK,0,0
10,SWI20-F,1375,1375,0,✅ OK,0,0
10,SWI20,1375,1375,0,✅ OK,0,0
11,CHINAH,1384,1384,0,✅ OK,0,0
11,NETH25,1384,1384,0,✅ OK,0,0
01,AUDCAD,1923,1923,0,✅ OK,0,0
01,AUDJPY,1923,1923,0,✅ OK,0,0
01,GBPJPY,1923,1923,0,✅ OK,0,0
01,LINKUSD,1923,1923,0,✅ OK,0,0
01,NZDCAD,1923,1923,0,✅ OK,0,0
02,DOTUSD,1877,1877,0,✅ OK,0,0
03,XRPUSD,1867,1867,0,✅ OK,0,0
05,XLMUSD,1792,1792,0,✅ OK,0,0
06,BCHUSD,1774,1774,0,✅ OK,0,0
06,DOGEUSD,1774,1774,0,✅ OK,0,0
08,BNBUSD,1696,1696,0,✅ OK,0,0
09,ADAUSD,1662,1662,0,✅ OK,0,0
09,ATMUSD,1662,1662,0,✅ OK,0,0
09,SHBUSD,1662,1662,0,✅ OK,0,0
10,UNIUSD,1657,1657,0,✅ OK,0,0
10,XTZUSD,1657,1657,0,✅ OK,0,0
01,AUDCHF,52694,52694,0,✅ OK,0,0
01,AUDNZD,52694,52694,0,✅ OK,0,0
01,AUDPLN,52694,52694,0,✅ OK,0,0
01,AUDSGD,52694,52694,0,✅ OK,0,0
01,AUDUSD,52694,52694,0,✅ OK,0,0
01,AUS200,52694,52694,0,✅ OK,0,0
01,BTCAUD,52694,52694,0,✅ OK,0,0
01,CADCHF,52694,52694,0,✅ OK,0,0
01,CADJPY,52694,52694,0,✅ OK,0,0
01,CHFJPY,52694,52694,0,✅ OK,0,0
01,CHFPLN,52694,52694,0,✅ OK,0,0
01,CHFSGD,52694,52694,0,✅ OK,0,0
01,CN50,52694,52694,0,✅ OK,0,0
01,ETCUSD,52694,52694,0,✅ OK,0,0
01,EURAUD,52694,52694,0,✅ OK,0,0
01,EURCAD,52694,52694,0,✅ OK,0,0
01,EURCHF,52694,52694,0,✅ OK,0,0
01,EURCZK,52694,52694,0,✅ OK,0,0
01,EURDKK,52694,52694,0,✅ OK,0,0
01,EURGBP,52694,52694,0,✅ OK,0,0
01,EURHUF,52694,52694,0,✅ OK,0,0
01,EURJPY,52694,52694,0,✅ OK,0,0
01,EURMXN,52694,52694,0,✅ OK,0,0
01,EURNOK,52694,52694,0,✅ OK,0,0
01,EURNZD,52694,52694,0,✅ OK,0,0
01,EURPLN,52694,52694,0,✅ OK,0,0
