Timeframe,Ativo,Status,Linhas,Nulos,Erros_OHLC,Precos_Inval,Duplicatas
H1,AUDCHF,✅ OK,52694,0,0,0,0
H1,AUDNZD,✅ OK,52694,0,0,0,0
H1,AUDPLN,✅ OK,52694,0,0,0,0
H1,AUS200,✅ OK,52694,0,0,0,0
H1,BTCAUD,✅ OK,52694,0,0,0,0
H1,CADCHF,✅ OK,52694,0,0,0,0
H1,CADJPY,✅ OK,52694,0,0,0,0
H1,CHFJPY,✅ OK,52694,0,0,0,0
H1,CHFPLN,✅ OK,52694,0,0,0,0
H1,CHFSGD,✅ OK,52694,0,0,0,0
H1,CN50,✅ OK,52694,0,0,0,0
H1,ETCUSD,✅ OK,52694,0,0,0,0
H1,EURAUD,✅ OK,52694,0,0,0,0
H1,EURCAD,✅ OK,52694,0,0,0,0
H1,EURCHF,✅ OK,52694,0,0,0,0
H1,EURCZK,✅ OK,52694,0,0,0,0
H1,EURDKK,✅ OK,52694,0,0,0,0
H1,EURGBP,✅ OK,52694,0,0,0,0
H1,EURHUF,✅ OK,52694,0,0,0,0
H1,EURJPY,✅ OK,52694,0,0,0,0
H1,EURMXN,✅ OK,52694,0,0,0,0
H1,EURNOK,✅ OK,52694,0,0,0,0
H1,EURNZD,✅ OK,52694,0,0,0,0
H1,EURPLN,✅ OK,52694,0,0,0,0
H1,EURSEK,✅ OK,52694,0,0,0,0
H1,EURSGD,✅ OK,52694,0,0,0,0
H1,EURTRY,✅ OK,52694,0,0,0,0
H1,EURUSD,✅ OK,52694,0,0,0,0
H1,EURZAR,✅ OK,52694,0,0,0,0
H1,EUSTX50-F,✅ OK,52694,0,0,0,0
H1,EUSTX50,✅ OK,52694,0,0,0,0
H1,FRA40-F,✅ OK,52694,0,0,0,0
H1,FRA40,✅ OK,52694,0,0,0,0
H1,GBPAUD,✅ OK,52694,0,0,0,0
H1,GBPCAD,✅ OK,52694,0,0,0,0
H1,GBPCHF,✅ OK,52694,0,0,0,0
H1,GBPNZD,✅ OK,52694,0,0,0,0
H1,GBPUSD,✅ OK,52694,0,0,0,0
H1,GER40-F,✅ OK,52694,0,0,0,0
H1,GER40,✅ OK,52694,0,0,0,0
H1,HK50-F,✅ OK,52694,0,0,0,0
H1,HK50,✅ OK,52694,0,0,0,0
