Ativo,Lote_Min,Spread_Pts,Ret_Bruto_%,Ret_Liquido_%,Custo_Total_%
AVEUSD,0.1,70.0,1897.165846824646,1887.702554281168,9.463292543478019
CMPUSD,0.1,499.0,1782.582175731659,1655.1894842777983,127.3926914538606
UNIUSD,5.0,40.0,898.8264799118042,880.0596976623638,18.76678224944044
LNKUSD,4.0,34.0,879.9811780452728,872.965652466155,7.015525579117821
DSHUSD,1.0,1552.0,522.0567107200623,469.09900037717307,52.957710342889186
LTCUSD,10.0,31.0,339.1528606414795,337.558237726239,1.5946229152405067
AUDUSD,0.01,16.0,160.04656553268433,36.81415603496134,123.23240949772298
BCHUSD,1.0,94.0,13.781750202178955,13.650312170318557,0.13143803186039804
NZDUSD,0.01,19.0,157.59536027908325,13.442097275401466,144.1532630036818
USDCHF,0.01,18.0,113.02573680877686,7.280387220089324,105.74534958868753
EURUSD,0.01,13.0,58.128201961517334,3.036702371900901,55.09149958961643
USDCNH,0.01,157.0,0.0,0.0,0.0
GBPDKK,0.01,887.0,0.0,0.0,0.0
ADAUSD,115.0,40.0,0.0,0.0,0.0
EURMXN,0.01,1159.0,0.0,0.0,0.0
CHFDKK,0.01,683.0,0.0,0.0,0.0
SEKJPY,0.01,92.0,0.0,0.0,0.0
EURAUD,0.01,35.0,4.598909616470337,-0.23581397254019976,4.834723589010537
GBPZAR,0.01,500.0,62.97878623008728,-4.327250215283129,67.30603644537041
AUS_IDX,1.0,20.0,-6.30185604095459,-8.348081114672823,2.046225073718233
GBPAUD,0.01,32.0,30.600428581237793,-9.226706814661156,39.82713539589895
EURNOK,0.01,639.0,2.8103530406951904,-9.905772609636188,12.716125650331378
GBPNZD,0.01,69.0,-3.994417190551758,-11.65393244009465,7.659515249542892
EURNZD,0.01,54.0,-6.953448057174683,-13.485822884831578,6.532374827656895
GBPJPY,0.01,51.0,-7.983767986297607,-14.157856334350072,6.174088348052464
GBPUSD,0.01,18.0,20.36956548690796,-15.5450085454504,35.91457403235836
USDHKD,0.01,124.0,0.012391805648803711,-18.534718255978078,18.54711006162688
USA30_IDX,,2134.0,-10.11507511138916,-20.00709987769369,9.89202476630453
GOLD,0.01,37.0,-17.612004280090332,-20.06083369924454,2.448829419154208
XAUUSD,0.5,57.0,-17.612004280090332,-21.384525153553113,3.7725208734627813
USATECH_IDX,,1161.0,-11.459940671920776,-21.934450539993122,10.474509868072346
USDCZK,0.01,2140.0,2.1187782287597656,-22.260210453532636,24.378988682292402
USDDKK,0.01,575.0,0.6831049919128418,-22.37448551459238,23.05759050650522
AUDPLN,0.01,209.0,-4.9201250076293945,-23.42788545647636,18.507760448846966
USDZAR,0.01,2216.0,4.171431064605713,-24.224609532393515,28.396040596999228
EURSEK,0.01,1120.0,0.5451619625091553,-26.557612069882452,27.102774032391608
EURGBP,0.01,16.0,55.84433674812317,-27.69995226553874,83.54428901366191
XLMUSD,2500.0,16.0,195.95888257026672,-30.141157837351784,226.1000404076185
USDCAD,0.01,23.0,14.250051975250244,-30.31695821264293,44.567010187893175
USA500_IDX,,653.0,-10.543406009674072,-30.62567308661528,20.082267076941207
EURZAR,0.01,3174.0,3.814595937728882,-35.24949890561402,39.0640948433429
CHFSGD,0.01,244.0,-2.6385068893432617,-36.161030060611665,33.5225231712684
CADPLN,0.01,623.0,2.0889759063720703,-38.06816516444087,40.15714107081294
FRA_IDX,1.0,1201.0,-3.182220458984375,-38.56782525544986,35.385604796465486
CHFPLN,0.01,894.0,-2.3418128490448,-45.08478729985654,42.742974450811744
NZDPLN,0.01,529.0,6.2261879444122314,-45.87173103354871,52.097918977960944
PLNDKK,0.01,326.0,-0.3483891487121582,-52.21181691158563,51.86342776287347
USDHUF,0.01,880.0,4.543811082839966,-56.560868583619595,61.10467966645956
EURJPY,0.01,45.0,13.951867818832397,-57.5794701158884,71.5313379347208
AUDSGD,0.01,190.0,-6.54636025428772,-58.832854754291475,52.286494500003755
USSC2000_IDX,1.0,370.0,-18.15963387489319,-61.750292708165944,43.590658833272755
GBPCAD,0.01,55.0,18.307822942733765,-62.46449929312803,80.7723222358618
SGDJPY,0.01,231.0,-10.229939222335815,-62.82015247270465,52.59021325036883
