Ativo,Retorno_%,Trades,Win_Rate_%
DSHUSD,2776.3367775440215,4268.0,63.63636363636363
AVEUSD,2139.259503936768,3178.0,65.71914104742777
UNIUSD,1672.2252794265742,3508.0,64.50800050396876
BATUSD,1638.8606198787688,3258.0,63.76133786848073
ADAUSD,1417.7838198661802,3066.0,54.41067457375834
CMPUSD,1366.0385868549347,2830.0,64.19891269587464
LNKUSD,1253.8402099609375,3210.0,66.73083092717357
XLMUSD,1084.0374765872953,2954.0,65.19318373544795
BCHUSD,804.3785700321197,2406.0,66.09347442680776
LTCUSD,772.6992174625395,2132.0,61.52924256951102
XAGHKD,598.10580701828,1406.0,63.02374301675978
XAGGBP,579.5968564033508,1384.0,62.00284090909091
XAGEUR,572.4206127643585,1346.0,62.21735959153902
XAGSEK,551.3165767669677,1334.0,62.725903614457835
TRXUSD,100.14880843162534,561.0,63.497453310696095
XAUUSD,96.70224237442015,490.0,57.3440643863179
GOLD,96.70224237442015,490.0,57.3440643863179
JPN_IDX,83.18756880760192,462.0,54.3026706231454
PLN_IDX,81.99967398643493,297.0,34.830339321357286
USSC2000_IDX,74.91509389877318,360.0,59.28489042675894
TRYJPY,73.3039533138275,152.0,48.15950920245399
HKG_IDX,51.56897163391112,280.0,41.123882503192846
EUS_IDX,46.54860978126525,224.0,41.9753086419753
ESP_IDX,43.76890144348143,258.0,44.241573033707866
FRA_IDX,35.64085988998412,194.0,45.22613065326633
CHI_IDX,34.45739164352416,222.0,51.724137931034484
USATECH_IDX,33.251817178726185,276.0,54.83870967741935
NLD_IDX,32.19399108886718,172.0,43.28657314629258
CHE_IDX,27.519554328918456,166.0,42.30088495575221
USA30_IDX,22.04002442359924,162.0,54.1970802919708
USA500_IDX,14.519929981231686,148.0,45.03171247357294
AUS_IDX,12.886091423034665,126.0,55.311355311355314
USDZAR,10.713887310028076,148.0,62.33766233766234
USDHUF,6.994492578506467,184.0,53.00429184549357
ZARJPY,6.437587451934815,56.0,56.8
USDILS,6.060205650329588,76.0,34.472934472934476
USDRON,5.6825571060180655,140.0,31.009174311926607
EURZAR,5.671092510223389,70.0,57.83783783783784
USDNOK,5.120327043533324,34.0,50.72463768115942
USDPLN,5.011889123916625,42.0,55.15695067264574
USDSEK,3.6401947021484373,34.0,57.798165137614674
NZDUSD,3.5536729335784902,52.0,52.313167259786475
USDTHB,3.400078582763672,134.0,49.59128065395095
AUDUSD,3.3198009014129637,54.0,52.91479820627802
CADJPY,3.192302513122558,14.0,59.57446808510638
GBPZAR,3.0503867626190186,28.0,54.91803278688525
MXNJPY,3.0314110755920405,52.0,50.0
NZDJPY,2.9821236610412596,34.0,56.33802816901409
EURUSD,2.7882523059844964,36.0,49.45652173913043
EURHKD,2.7665165901184072,42.0,49.375
GBPCAD,2.6803641796112063,14.0,64.07766990291263
EURTRY,2.581229591369629,42.0,44.85294117647059
GBPUSD,2.5565822601318358,34.0,53.103448275862064
AUDNZD,2.4056897163391113,30.0,53.17460317460318
GBPAUD,2.393595933914184,30.0,58.620689655172406
EURNZD,2.3776151180267333,22.0,59.34959349593496
EURNOK,2.339780044555664,56.0,53.21100917431193
GBPCHF,2.226121377944946,26.0,63.95348837209303
NZDCAD,2.1535327434539795,20.0,48.19277108433735
EURJPY,2.097045421600342,20.0,54.54545454545454
USDCZK,1.9132693290710445,34.0,47.88732394366197
AUDNOK,1.677131175994873,10.0,79.3103448275862
CADCHF,1.455975389480591,8.0,68.75
EURAUD,1.4257101058959956,42.0,54.36241610738255
EURGBP,1.3586885452270505,36.0,61.875
HKDJPY,1.2904132366180412,98.0,51.867219917012456
USDCHF,1.2869050502777097,20.0,48.739495798319325
EURCHF,1.0720699310302733,14.0,56.57894736842105
NZDSGD,1.023547077178955,12.0,54.347826086956516
EURHUF,0.9485330581665032,70.0,54.06360424028268
NZDCHF,0.934615659713745,14.0,51.85185185185185
GBPNZD,0.8880684852600098,54.0,50.0
NZDPLN,0.7976883411407467,38.0,61.66666666666667
AUDCAD,0.578161525726318,24.0,44.36619718309859
GBPJPY,0.5297058582305907,38.0,50.617283950617285
GBPSGD,0.4850659847259521,4.0,57.89473684210527
AUDPLN,0.3548182487487792,22.0,46.875
EURPLN,0.26326551437377926,22.0,57.74647887323944
CHFPLN,0.1508983612060545,32.0,53.68421052631579
SEKJPY,0.0,0.0,0.0
USDCNH,0.0,0.0,0.0
EURMXN,0.0,0.0,0.0
CHFDKK,0.0,0.0,0.0
GBPDKK,0.0,0.0,0.0
AUDJPY,-0.03112487792968771,36.0,35.11450381679389
USDSGD,-0.1912385940551758,14.0,26.865671641791046
AUDSGD,-0.21626062393188478,14.0,28.57142857142857
GBPPLN,-0.31869087219238285,32.0,55.73770491803278
USDCAD,-0.3603260040283203,34.0,27.500000000000004
CADPLN,-0.42180690765380896,32.0,51.09489051094891
CHFSGD,-0.43194437026977545,30.0,53.42465753424658
SGDJPY,-0.7203908920288087,42.0,52.112676056338024
USDDKK,-0.8867506504058841,84.0,47.05882352941176
EURSEK,-0.9749823093414307,36.0,44.827586206896555
AUDCHF,-1.5597970008850102,14.0,23.456790123456788
DOLLAR_IDX,-1.76310305595398,126.0,35.6234096692112
PLNDKK,-2.102445077896118,44.0,46.08695652173913
USDTRY,-4.297079801559448,170.0,42.698191933240615
USDHKD,-4.3802546024322515,72.0,43.06864064602961
