Ativo,Decimais,Amostras,Gaps_Reais,Gap_Pct,Range_Medio,Data_Inicio,Data_Fim,Ano_Inicio
ADAUSD,5,184531,3,1.6257431000753262e-05,203.0,2022-01-01 16:00:00,2023-10-05 08:30:00,2022
AUDCAD,5,310838,1477,0.00475167128858119,34.0,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
AUDCHF,5,312690,1358,0.004342959480635774,28.5,2022-01-02 22:10:00,2026-04-06 23:55:00,2022
AUDJPY,3,312757,1243,0.003974331509766368,53.4,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
AUDNOK,5,311614,1353,0.004341910183752976,371.6,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
AUDNZD,5,313613,1206,0.003845503853475462,29.1,2022-01-02 22:15:00,2026-04-06 23:55:00,2022
AUDPLN,5,318689,239,0.0007499474409220275,270.5,2022-01-03 00:00:00,2026-04-07 12:25:00,2022
AUDSGD,5,318542,410,0.0012871144150535879,39.9,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
AUDUSD,5,313237,1291,0.004121479901799596,34.0,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
AUS_IDX,2,260566,3001,0.011517235556442514,532.2,2022-01-04 01:50:00,2026-04-07 12:25:00,2022
AVEUSD,5,446439,33,7.391827326913644e-05,9762.5,2022-01-01 16:00:00,2026-04-07 12:25:00,2022
BATUSD,5,443881,1847,0.004161025139620754,36.0,2022-01-01 16:00:00,2026-04-07 12:25:00,2022
BCHUSD,5,444666,1484,0.003337336337835589,110723.4,2022-01-01 16:00:00,2026-04-07 11:50:00,2022
CADCHF,5,312560,1460,0.004671103148195546,25.3,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
CADJPY,3,312247,1236,0.003958404724464927,50.4,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
CADPLN,5,318679,241,0.0007562468816583459,465.2,2022-01-03 00:00:00,2026-04-07 12:25:00,2022
CHE_IDX,2,178641,1227,0.006868524023040623,974.7,2022-01-03 09:00:00,2026-04-07 12:25:00,2022
CHFDKK,5,217428,836,0.00384495097227588,245.6,2022-01-02 22:05:00,2024-12-20 21:55:00,2022
CHFPLN,5,318668,240,0.0007531349241216564,233.0,2022-01-03 00:00:00,2026-04-07 11:50:00,2022
CHFSGD,5,313190,871,0.002781059420798876,52.8,2022-01-03 00:10:00,2026-04-07 11:50:00,2022
CHI_IDX,2,246296,2815,0.011429337057849091,1145.0,2022-01-03 03:00:00,2026-04-02 23:25:00,2022
CMPUSD,5,439698,4524,0.010288880094974277,17677.2,2022-01-01 16:00:00,2026-04-07 12:15:00,2022
DOLLAR_IDX,2,275752,1203,0.004362615683657779,3.7,2022-01-03 03:00:00,2026-04-07 12:25:00,2022
DSHUSD,5,287115,913,0.0031799104888285182,22928.1,2022-01-03 00:00:00,2026-04-07 12:25:00,2022
ESP_IDX,2,155819,1274,0.008176153100713008,1106.4,2022-01-03 09:00:00,2026-04-07 12:25:00,2022
EURAUD,5,317837,507,0.0015951572661458545,69.7,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
EURCHF,5,312359,1222,0.003912165168924219,27.5,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
EURGBP,5,313009,1213,0.003875287931017958,23.1,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
EURHKD,5,311966,1254,0.004019668810062635,305.3,2022-01-10 16:10:00,2026-04-06 23:55:00,2022
EURHUF,3,309620,1710,0.005522899037529875,152.2,2022-01-02 22:10:00,2026-04-06 23:55:00,2022
EURJPY,3,310704,1504,0.004840620011329111,68.6,2022-01-02 22:30:00,2026-04-06 23:55:00,2022
EURMXN,5,153880,621,0.004035612165323629,1056.8,2022-01-02 22:05:00,2024-02-14 23:55:00,2022
EURNOK,5,318131,618,0.0019425959746142312,567.7,2022-01-03 00:00:00,2026-04-07 11:50:00,2022
EURNZD,5,317154,655,0.002065242752732111,76.9,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
EURPLN,5,316293,1762,0.005570784051496556,160.3,2022-01-03 00:10:00,2026-04-07 11:50:00,2022
EURSEK,5,317898,723,0.002274314402732952,454.1,2022-01-03 00:25:00,2026-04-07 11:50:00,2022
EURTRY,5,310943,1565,0.005033076801857575,1870.4,2022-01-02 23:00:00,2026-04-06 23:55:00,2022
EURUSD,5,313831,1201,0.003826900465537184,38.9,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
EURZAR,5,318694,242,0.000759349093487797,1307.5,2022-01-03 00:00:00,2026-04-07 12:25:00,2022
EUS_IDX,2,180398,2127,0.011790596348074812,442.3,2022-01-03 09:00:00,2026-04-07 12:25:00,2022
FRA_IDX,2,139758,939,0.00671875670802387,738.8,2022-01-03 09:00:00,2026-04-07 12:25:00,2022
GBPAUD,5,311348,1341,0.004307077610904839,76.0,2022-01-02 22:15:00,2026-04-06 23:55:00,2022
GBPCAD,5,310937,1585,0.005097495634163834,59.4,2022-01-02 22:10:00,2026-04-06 23:55:00,2022
GBPCHF,5,307322,1580,0.005141187419058837,41.1,2022-01-02 22:35:00,2026-04-06 23:55:00,2022
GBPDKK,5,174402,702,0.004025183197440396,279.3,2022-01-02 22:05:00,2024-05-17 20:55:00,2022
GBPJPY,3,317940,445,0.0013996351512864063,90.0,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
GBPNZD,5,317468,540,0.0017009588367961495,88.3,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
GBPPLN,5,318712,233,0.0007310675468761766,245.2,2022-01-03 00:00:00,2026-04-07 11:50:00,2022
GBPSGD,5,313267,1307,0.004172159850862044,56.4,2022-01-02 22:10:00,2026-04-06 23:55:00,2022
GBPUSD,5,313667,1243,0.0039628013147701225,49.2,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
GBPZAR,5,313049,1450,0.0046318627435321625,1345.0,2022-01-02 22:10:00,2026-04-06 23:55:00,2022
GOLD,2,300842,1132,0.0037627724852248023,227.3,2022-01-03 01:05:00,2026-04-07 11:50:00,2022
HKDJPY,3,317646,311,0.0009790773376651997,8.4,2022-01-03 00:00:00,2026-04-07 11:50:00,2022
HKG_IDX,2,173235,3122,0.018021762345946258,2869.8,2022-01-04 03:15:00,2026-04-02 19:55:00,2022
JPN_IDX,2,289823,1816,0.0062658933210959795,3592.1,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
LNKUSD,5,447145,14,3.130975410660971e-05,3788.6,2022-01-01 16:00:00,2026-04-07 12:25:00,2022
LTCUSD,5,415085,16899,0.04071214329595143,32463.7,2022-01-01 16:00:00,2026-04-07 12:25:00,2022
MXNJPY,3,318574,237,0.0007439401834424654,3.4,2022-01-03 00:00:00,2026-04-07 11:50:00,2022
NLD_IDX,2,181595,1415,0.007792064759492277,75.0,2022-01-03 09:00:00,2026-04-07 12:25:00,2022
NZDCAD,5,309774,1539,0.004968138061941932,32.2,2022-01-02 23:00:00,2026-04-06 23:55:00,2022
NZDCHF,5,313153,1252,0.003998045683739258,25.5,2022-01-02 22:15:00,2026-04-06 23:55:00,2022
NZDJPY,3,313260,1237,0.003948796526846709,47.3,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
NZDPLN,5,318615,245,0.0007689531252452019,1010.5,2022-01-03 00:00:00,2026-04-07 12:25:00,2022
NZDSGD,5,312358,1660,0.005314414870116981,35.1,2022-01-02 23:00:00,2026-04-06 23:55:00,2022
NZDUSD,5,312437,1389,0.004445696252364476,30.9,2022-01-02 22:15:00,2026-04-06 23:55:00,2022
PLNDKK,5,318642,258,0.000809686105409833,22.5,2022-01-03 00:00:00,2026-04-07 12:25:00,2022
PLN_IDX,2,102213,1587,0.015526400751372134,325.8,2022-01-03 09:45:00,2026-04-07 12:25:00,2022
SEKJPY,3,155132,630,0.004061057679911302,8.7,2022-01-02 22:05:00,2024-02-14 23:55:00,2022
SGDJPY,3,316594,827,0.0026121783735636177,45.7,2022-01-03 00:25:00,2026-04-07 11:50:00,2022
TRXUSD,5,442532,1287,0.0029082642611155804,29.3,2022-01-01 16:00:00,2026-04-07 12:25:00,2022
TRYJPY,3,307102,7566,0.024636765634870498,9.5,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
UNIUSD,5,447108,29,6.486128631113736e-05,2245.1,2022-01-01 16:00:00,2026-04-07 12:25:00,2022
USA30_IDX,2,291346,1120,0.0038442264523968067,2547.5,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
USA500_IDX,2,291342,1162,0.003988439703166725,365.3,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
USATECH_IDX,2,276487,1073,0.003880833456907558,1683.5,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
USDCAD,5,312478,1317,0.004214696714648711,39.4,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
USDCHF,5,313140,1214,0.0038768601903302036,33.8,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
USDCNH,5,160998,637,0.003956570889079368,176.6,2022-01-02 22:05:00,2024-03-15 20:55:00,2022
USDCZK,5,318482,441,0.0013846936404569175,1231.6,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
USDDKK,5,316395,730,0.0023072425291170845,253.6,2022-01-03 00:15:00,2026-04-07 11:50:00,2022
USDHKD,5,315430,2419,0.007668896427099515,37.4,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
USDHUF,3,302609,1040,0.003436778152665651,230.7,2022-01-03 00:25:00,2026-04-07 11:50:00,2022
USDILS,5,225146,3305,0.01467936361294449,240.6,2022-01-03 08:00:00,2026-04-07 12:25:00,2022
USDNOK,5,313365,1317,0.004202766741659088,609.4,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
USDPLN,5,313077,1261,0.004027763138141735,201.7,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
USDRON,5,204849,1239,0.006048357570698417,216.8,2022-01-03 08:40:00,2026-04-07 12:25:00,2022
USDSEK,5,312910,1276,0.004077849860982391,548.8,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
USDSGD,5,312916,1302,0.004160861061754592,29.4,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
USDTHB,5,269359,3263,0.012113944586963866,1793.5,2022-01-03 00:00:00,2026-04-07 12:25:00,2022
USDTRY,5,307240,5369,0.01747493815909387,583.8,2022-01-02 22:05:00,2026-04-06 23:55:00,2022
USDZAR,5,316540,787,0.0024862576609591203,1177.1,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
USSC2000_IDX,2,291337,1126,0.0038649399149438624,214.8,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
XAGEUR,2,301896,1102,0.003650263666958158,8.5,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
XAGGBP,2,301905,1100,0.003643530249581822,6.7,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
XAGHKD,2,301875,1100,0.0036438923395445133,35.9,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
XAGSEK,2,301915,1098,0.003636785187884007,44.1,2022-01-03 01:00:00,2026-04-07 12:25:00,2022
XAUUSD,2,300849,1132,0.0037626849349673757,227.4,2022-01-03 01:05:00,2026-04-07 12:25:00,2022
XLMUSD,5,440332,6170,0.014012154465267117,73.0,2022-01-01 16:00:00,2026-04-07 12:25:00,2022
ZARJPY,3,318324,922,0.002896419999748684,11.9,2022-01-03 00:05:00,2026-04-07 11:50:00,2022
