Ativo,Pasta,Amostras,Inicio
AAVUSD,REPROVADO,99316,2025-05-08 12:35:00
ADAUSD,2021/09,469183,2021-09-25 20:30:00
APTUSD,2025/01,134629,2025-01-02 00:00:00
ARBUSD,2023/10,262744,2023-10-13 00:10:00
ATMUSD,2021/09,482022,2021-09-01 12:35:00
AUDCAD,2021/01,395170,2021-01-04 00:00:00
AUDCHF,2020/01,469751,2020-01-02 06:00:00
AUDCNH,2023/04,222830,2023-04-25 03:00:00
AUDDKK,2024/04,153074,2024-04-01 03:00:00
AUDHUF,2024/05,129710,2024-05-01 03:00:00
AUDJPY,2021/01,395101,2021-01-04 00:00:00
AUDNOK,2024/05,146725,2024-05-01 03:00:00
AUDNZD,2020/01,469564,2020-01-02 06:00:00
AUDPLN,2020/01,471014,2020-01-02 00:00:00
AUDSGD,2020/01,469882,2020-01-02 00:00:00
AUDUSD,2020/01,469837,2020-01-02 06:00:00
AUS200,2020/01,386756,2020-01-02 00:30:00
AVAXUSD,2022/02,428447,2022-02-05 09:00:00
BCHUSD,2021/06,506900,2021-06-09 16:35:00
BNBUSD,2021/08,472971,2021-08-18 19:00:00
BNKUSD,REPROVADO,82092,2025-07-07 00:00:00
BTCAUD,2020/01,292600,2020-01-02 00:00:00
BTCEUR,2023/03,328115,2023-03-01 02:00:00
BTCGBP,2023/03,324191,2023-03-14 17:00:00
BTCUSD,REPROVADO,171902,2021-05-18 00:00:00
CA60,2020/04,120319,2020-04-29 16:30:00
CADCHF,2020/01,469679,2020-01-02 06:00:00
CADJPY,2020/01,469875,2020-01-02 06:00:00
CADMXN,2024/05,143620,2024-05-15 12:00:00
CADSGD,2024/05,143565,2024-05-15 12:00:00
CHFDKK,2024/05,143721,2024-05-15 12:00:00
CHFHUF,REPROVADO,89789,2024-05-15 12:00:00
CHFJPY,2020/01,394487,2020-01-02 06:00:00
CHFNOK,2024/05,143719,2024-05-15 12:00:00
CHFPLN,2020/01,471001,2020-01-02 00:00:00
CHFSEK,2024/05,143752,2024-05-15 12:00:00
CHFSGD,2020/01,463715,2020-01-02 00:00:00
CHINAH,2020/11,219173,2020-11-20 04:35:00
CN50,2020/01,421089,2020-01-02 01:00:00
CNHJPY,2024/05,143734,2024-05-15 12:00:00
COMPUSD,2020/07,298811,2020-07-15 00:00:00
DOGEUSD,2021/06,491676,2021-06-12 15:15:00
DOTUSD,2021/02,522938,2021-02-21 00:30:00
ETCUSD,2020/01,290118,2020-01-02 00:00:00
ETHAUD,2020/06,293740,2020-06-17 00:00:00
ETHEUR,2023/03,324195,2023-03-14 16:50:00
ETHGBP,2023/03,324195,2023-03-14 16:50:00
ETHUSD,REPROVADO,172013,2021-05-18 00:00:00
EURAUD,2020/01,469605,2020-01-02 06:00:00
EURCAD,2020/01,469499,2020-01-02 06:00:00
EURCHF,2020/01,469833,2020-01-02 06:00:00
EURCNH,2024/05,143729,2024-05-15 12:05:00
EURCZK,2020/01,437389,2020-01-02 09:00:00
EURDKK,2020/01,462450,2020-01-02 00:00:00
EURGBP,2020/01,469953,2020-01-02 06:00:00
EURHUF,2020/01,389364,2020-01-02 09:00:00
EURILS,REPROVADO,78845,2024-09-16 16:35:00
EURJPY,2020/01,469700,2020-01-02 06:00:00
EURMXN,2020/01,470871,2020-01-02 00:00:00
EURNOK,2020/01,470331,2020-01-02 00:05:00
EURNZD,2020/01,468904,2020-01-02 06:00:00
EURPLN,2020/01,467320,2020-01-02 00:00:00
EURSEK,2020/01,470070,2020-01-02 00:05:00
EURSGD,2020/01,469840,2020-01-02 00:00:00
EURTRY,2020/01,268669,2020-01-02 00:25:00
EURUSD,2020/01,469926,2020-01-02 06:00:00
EURX,2020/05,424604,2020-05-12 05:25:00
EURZAR,2020/01,471016,2020-01-02 00:00:00
EUSTX50-F,2020/01,440272,2020-01-02 01:00:00
EUSTX50,2020/01,430682,2020-01-02 01:00:00
FETUSD,REPROVADO,49269,2025-10-05 00:00:00
FLOUSD,2025/01,129905,2025-01-22 02:25:00
FRA40-F,2020/01,267904,2020-01-02 09:00:00
FRA40,2020/01,268988,2020-01-02 09:00:00
GBPAUD,2020/01,468950,2020-01-02 06:00:00
GBPCAD,2020/01,394491,2020-01-02 06:00:00
GBPCHF,2020/01,469488,2020-01-02 06:00:00
GBPCNH,2024/05,143732,2024-05-15 12:05:00
GBPDKK,2024/05,143775,2024-05-15 12:05:00
GBPHUF,REPROVADO,89806,2024-05-15 12:05:00
GBPJPY,2021/01,395070,2021-01-04 00:00:00
GBPMXN,2024/05,143616,2024-05-15 12:05:00
GBPNOK,2024/05,143775,2024-05-15 12:05:00
GBPNZD,2020/01,469988,2020-01-02 00:05:00
GBPSEK,2024/05,143786,2024-05-15 12:05:00
GBPSGD,2024/05,143587,2024-05-15 12:05:00
GBPTRY,REPROVADO,90096,2024-05-15 12:05:00
GBPUSD,2020/01,469890,2020-01-02 06:00:00
GER40-F,2020/01,421214,2020-01-02 01:00:00
GER40,2020/01,412656,2020-01-02 01:00:00
GLMRUSD,2022/01,278358,2022-01-11 00:00:00
HBARUSD,REPROVADO,65030,2025-09-05 00:00:00
HK50-F,2020/01,379254,2020-01-02 01:00:00
HK50,2020/01,377815,2020-01-02 01:00:00
HSTECH,REPROVADO,7890,2026-03-03 10:45:00
HYPEUSD,REPROVADO,51389,2025-10-20 00:00:00
INJUSD,REPROVADO,64372,2025-09-05 00:00:00
JPN225-F,2020/01,446913,2020-01-02 01:00:00
JPN225,2020/01,446659,2020-01-02 01:00:00
JPYX,2020/05,426701,2020-05-12 05:20:00
JUPUSD,REPROVADO,84213,2025-06-30 00:00:00
KSMUSD,2020/09,291426,2020-09-02 00:00:00
LINKUSD,2021/01,532393,2021-01-06 17:00:00
LTCUSD,2020/01,622087,2020-01-01 23:00:00
MANUSD,2022/01,445997,2022-01-02 00:00:00
MATICUSD,2021/11,449338,2021-11-16 16:00:00
MXNJPY,2020/01,470899,2020-01-02 00:00:00
NAS100-F,2020/01,443705,2020-01-02 01:00:00
NAS100,2020/01,443785,2020-01-02 01:00:00
NERUSD,2022/01,448772,2022-01-02 00:00:00
NETH25,2020/11,231330,2020-11-04 15:45:00
NOKJPY,2024/05,143715,2024-05-15 12:10:00
NOKSEK,2024/05,143767,2024-05-15 12:10:00
NZDCAD,2021/01,394994,2021-01-04 00:00:00
NZDCHF,2020/01,469698,2020-01-02 09:00:00
NZDCNH,2024/05,143756,2024-05-15 12:10:00
NZDHUF,REPROVADO,89806,2024-05-15 12:10:00
NZDJPY,2020/01,469696,2020-01-02 06:00:00
NZDSGD,2020/01,470818,2020-01-02 00:00:00
NZDUSD,2020/01,469743,2020-01-02 06:00:00
ONDUSD,REPROVADO,82129,2025-07-07 00:00:00
PAXGUSD,REPROVADO,41964,2023-01-01 03:00:00
PEPUSD,2023/12,244429,2023-12-16 00:30:00
POLUSD,REPROVADO,63812,2025-09-09 11:30:00
RENDERUSD,2025/01,134550,2025-01-02 00:00:00
SANUSD,2022/01,448249,2022-01-02 00:00:00
SCI25,2020/01,383434,2020-01-02 00:00:00
SEKJPY,2024/05,143772,2024-05-15 12:15:00
SGDJPY,2020/01,467872,2020-01-02 09:00:00
SHBUSD,2021/09,456401,2021-09-01 12:35:00
SOLUSD,2021/11,450062,2021-11-16 16:45:00
SONUSD,REPROVADO,52743,2025-09-09 11:30:00
SPA35,2020/01,352844,2020-01-02 01:00:00
SUIUSD,REPROVADO,73617,2025-08-06 00:00:00
SWI20-F,2020/10,228370,2020-10-30 20:20:00
SWI20,2020/10,228638,2020-10-30 20:20:00
TONUSD,REPROVADO,71672,2025-08-06 00:00:00
TRUMPUSD,2025/02,121761,2025-02-10 00:00:00
TRXUSD,2020/01,652021,2020-01-01 03:00:00
TWN,REPROVADO,2723,2026-04-06 03:45:00
UK100-F,2020/01,447050,2020-01-02 01:00:00
UK100,2020/01,432548,2020-01-02 01:00:00
UNIUSD,2021/10,477106,2021-10-01 03:00:00
US2000,2020/01,452327,2020-01-02 01:00:00
US30-F,2020/01,453967,2020-01-02 01:00:00
US30,2020/01,453907,2020-01-02 01:00:00
US400,REPROVADO,8692,2026-03-03 10:45:00
US500-F,2020/01,420609,2020-01-02 00:00:00
US500,2020/01,420613,2020-01-02 00:00:00
USDAED,REPROVADO,31046,2024-07-02 23:55:00
USDBRL,REPROVADO,60701,2023-07-06 16:30:00
USDCAD,2020/01,469842,2020-01-02 06:00:00
USDCHF,2020/01,469706,2020-01-02 06:00:00
USDCLP,REPROVADO,45428,2022-11-07 16:30:00
USDCNH,2020/01,470252,2020-01-02 00:15:00
USDCOP,REPROVADO,32871,2022-11-08 17:00:00
USDCZK,2020/01,470983,2020-01-02 00:05:00
USDDKK,2020/01,466463,2020-01-02 06:00:00
USDHKD,2020/01,466807,2020-01-02 06:00:00
USDHUF,2020/01,451484,2020-01-02 01:00:00
USDIDR,2023/07,150746,2023-07-04 13:25:00
USDILS,2020/01,322633,2020-01-02 08:00:00
USDINR,2023/02,167169,2023-02-24 14:25:00
USDJPY,2020/01,469506,2020-01-02 00:00:00
USDKRW,2023/03,185408,2023-03-06 20:35:00
USDMXN,2020/01,468020,2020-01-02 03:00:00
USDNOK,2020/01,466898,2020-01-02 06:00:00
USDPLN,2020/01,470889,2020-01-02 00:00:00
USDRON,2020/01,302546,2020-01-02 08:30:00
USDSEK,2020/01,466583,2020-01-02 06:00:00
USDSGD,2020/01,469473,2020-01-02 06:00:00
USDTHB,2020/01,402143,2020-01-02 00:00:00
USDTRY,2020/01,446962,2020-01-02 00:00:00
USDTWD,2022/12,180430,2022-12-28 04:05:00
USDX-F,2020/01,406326,2020-01-02 03:00:00
USDX,2020/01,409996,2020-01-02 03:00:00
USDZAR,2020/01,468046,2020-01-02 09:00:00
VIX,REPROVADO,371617,2020-05-12 05:20:00
WIFUSD,2025/01,129832,2025-01-22 02:25:00
XAGAUD,2024/05,139217,2024-05-01 03:00:00
XAGEUR,2022/01,304242,2022-01-03 01:00:00
XAGSGD,2024/04,145286,2024-04-01 03:00:00
XAGUSD-F,2020/01,445678,2020-01-02 01:00:00
XAGUSD,2020/01,442876,2020-01-02 06:00:00
XAUAUD,2024/05,136511,2024-05-15 12:20:00
XAUCHF,2023/03,219525,2023-03-14 16:50:00
XAUCNH,2024/09,112062,2024-09-17 12:35:00
XAUEUR,2023/03,219524,2023-03-14 16:50:00
XAUGBP,2023/03,219525,2023-03-14 16:50:00
XAUJPY,2024/09,112065,2024-09-17 12:35:00
XAUSGD,2024/05,136511,2024-05-15 12:20:00
XAUTHB,REPROVADO,88695,2024-09-17 12:35:00
XAUTUSD,REPROVADO,41961,2023-01-01 03:00:00
XAUUSD-F,2020/01,445637,2020-01-02 01:00:00
XAUUSD,2020/01,443746,2020-01-02 06:00:00
XLMUSD,2021/05,506502,2021-05-25 09:55:00
XPDUSD,2020/01,443049,2020-01-02 01:00:00
XPTUSD,2020/01,445407,2020-01-02 01:00:00
XRPUSD,2021/03,520730,2021-03-03 12:00:00
XTZUSD,2021/10,461483,2021-10-07 05:55:00
ZARJPY,2020/01,469155,2020-01-02 00:00:00
