symbol,lookback,use_profile,processed,accepted,rejected,needs_validation
EURUSD,40,False,500,159,0,341
EURUSD,40,True,500,159,0,341
EURUSD,80,False,500,159,0,341
EURUSD,80,True,500,159,0,341
EURUSD,120,False,500,159,0,341
EURUSD,120,True,500,159,0,341
EURUSD,200,False,500,159,0,341
EURUSD,200,True,500,159,0,341
XAUUSD,40,False,500,151,0,349
XAUUSD,40,True,500,151,0,349
XAUUSD,80,False,500,151,0,349
XAUUSD,80,True,500,151,0,349
XAUUSD,120,False,500,151,0,349
XAUUSD,120,True,500,151,0,349
XAUUSD,200,False,500,151,0,349
XAUUSD,200,True,500,151,0,349
AUDCAD,40,False,500,164,0,336
AUDCAD,40,True,500,164,0,336
AUDCAD,80,False,500,164,0,336
AUDCAD,80,True,500,164,0,336
AUDCAD,120,False,500,164,0,336
AUDCAD,120,True,500,164,0,336
AUDCAD,200,False,500,164,0,336
AUDCAD,200,True,500,164,0,336
