ATIVO        | M5             | M15            | M30          | H1           | H4             | D1

AUDCAD   ?    | SELL (neutro)  | SELL (neutro)  | SELL (neutro)| SELL (sell)  | SELL (buy)     | SELL (sell)
AUDCHF   x    | BUY (neutro)   | BUY (neutro)   | BUY (buy)    | BUY (buy)    | SELL (buy)     | SELL (neutro)
AUDJPY [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY (neutro)   | BUY (buy)    | BUY (buy)    | BUY (neutro)   | BUY (neutro)
AUDNOK   ?    | BUY (neutro)   | BUY (neutro)   | BUY (sell)   | BUY (sell)   | SELL (sell)    | NEUTRO (neutro)
AUDNZD [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (neutro)  | SELL (buy)   | SELL (buy)   | SELL (neutro)  | SELL (neutro)
AUDSEK [SIGNAL_INVERSION]   ?    | SELL (neutro)  | SELL (neutro)  | SELL (buy)   | SELL (buy)   | SELL (sell)    | SELL (neutro)
AUDSGD   *    | BUY (neutro)   | BUY (neutro)   | BUY (neutro) | BUY (sell)   | NEUTRO (buy)   | NEUTRO (neutro)
AUDUSD [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY (neutro)   | BUY (neutro) | BUY (sell)   | SELL (sell)    | SELL (sell)
BTCUSD [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (sell)    | BUY (buy)    | BUY (sell)   | BUY (buy)      | BUY (neutro)
CADCHF [SIGNAL_INVERSION]   x    | BUY (neutro)   | BUY (neutro)   | BUY (buy)    | BUY (buy)    | SELL (sell)    | NEUTRO (neutro)
CADJPY [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (neutro)  | SELL (sell)  | BUY (buy)    | BUY (buy)      | BUY (neutro)
CHFDKK   *    | BUY (neutro)   | BUY (neutro)   | BUY (neutro) | BUY (neutro) | BUY (buy)      | BUY (neutro)
CHFJPY   x    | SELL (neutro)  | SELL (sell)    | SELL (sell)  | SELL (sell)  | NEUTRO (neutro)| NEUTRO (neutro)
CHFNOK   *    | BUY (neutro)   | BUY (sell)     | BUY  (buy)   | BUY  (buy)   | BUY (buy)      | BUY (neutro)
ETHUSD   x    | SELL (buy)     | SELL (buy)     | BUY (sell)   | BUY (buy)    | BUY (buy)      | BUY (neutro)
EURAUD [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (neutro)  | SELL (neutro)| SELL (neutro)| SELL (sell)    | SELL (sell)
EURCAD [SIGNAL_INVERSION]   x    | SELL (neutro)  | SELL(neutro)   | SELL (buy)   | SELL (neutro)| NEUTRO (buy)   | NEUTRO (neutro)
EURCHF [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (neutro)  | SELL (neutro)| SELL (sell)  | SELL (sell)    | SELL (neutro)
EURGBP [SIGNAL_INVERSION]   *    | NEUTRO (neutro)| NEUTRO (neutro)| NEUTRO (buy) | SELL (sell)  | NEUTRO (buy)   | NEUTRO (neutro)
EURHKD   x    | SELL (neutro)  | SELL (neutro)  | SELL (sell)  | SELL (sell)  | SELL (sell)    | SELL (neutro)
EURHUF   x    | BUY (neutro)   | BUY (neutro)   | BUY  (neutro)| BUY  (neutro)| BUY (buy)      | BUY (buy)
EURJPY   x    | SELL (neutro)  | SELL (neutro)  | SELL (sell)  | SELL (sell)  | NEUTRO (neutro)| NEUTRO (neutro)
EURMXN [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (sell)    | SELL (sell)  | SELL (sell)  | SELL (buy)     | SELL (neutro)
EURNOK [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (neutro)  | SELL (sell)  | SELL (sell)  | NEUTRO (sell)  | BUY (buy)
EURNZD [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (neutro)  | SELL (neutro)| SELL (buy)   | SELL (sell)    | SELL (neutro)
EURPLN   *    | SELL (neutro)  | SELL (neutro)  | SELL (neutro)| SELL (neutro)| BUY (sell)     | NEUTRO (neutro)
EURSEK [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (sell)    | SELL (sell)  | SELL (sell)  | BUY (sell)     | NEUTRO (neutro)
EURUSD   *    | BUY (neutro)   | BUY (neutro)   | BUY  (buy)   | BUY (buy)    | SELL (sell)    | SELL (neutro)
GBPAUD [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (neutro)  | SELL (neutro)| SELL (buy)   | SELL (buy)     | SELL (neutro)
GBPCAD   x    | SELL (neutro)  | SELL (neutro)  | SELL (neutro)| SELL (sell)  | NEUTRO (neutro)| NEUTRO (neutro)
GBPCHF [SIGNAL_INVERSION]   *    | SELL (neutro)  | SELL (neutro)  | SELL (sell)  | BUY (neutro) | BUY (buy)      | NEUTRO (neutro)
GBPJPY [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY (buy)      | BUY (buy)    | BUY (buy)    | BUY (buy)      | BUY (neutro)
GBPNZD   x    | BUY (neutro)   | BUY (neutro)   | BUY (buy)    | BUY (buy)    | BUY (buy)      | BUY (neutro)
GBPUSD   *    | BUY (neutro)   | BUY (neutro)   | BUY  (neutro)| BUY (sell)   | SELL (sell)    | NEUTRO (neutro)
GOLD [SIGNAL_INVERSION]     *    | BUY (neutro)   | BUY (sell)     | BUY (sell)   | NEUTRO (buy) | SELL (neutro)  | SELL (neutro)
NZDCAD [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY  (neutro)  | BUY (sell)   | BUY (buy)    | BUY (sell)     | BUY (neutro)
NZDCHF [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY (neutro)   | BUY (neutro) | BUY (neutro) | BUY (buy)      | BUY (neutro)
NZDJPY [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY (buy)      | BUY (neutro) | BUY (buy)    | BUY (buy)      | BUY (neutro)
NZDSGD [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY (neutro)   | BUY (sell)   | BUY (buy)    | BUY (buy)      | BUY (neutro)
NZDUSD [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY (neutro)   | BUY (neutro) | BUY (sell)   | BUY (buy)      | BUY neutro)
USDCAD [SIGNAL_INVERSION]   x    | BUY (neutro)   | BUY (neutro)   | BUY (neutro) | BUY (neutro) | BUY (buy)      | BUY (neutro)
USDCHF   x    | BUY (neutro)   | BUY  (buy)     | BUY (buy)    | BUY (buy)    | NEUTRO (neutro)| NEUTRO (neutro)
USDJPY [SIGNAL_INVERSION]   *    | BUY (neutro)   | BUY (neutro)   | BUY (neutro) | BUY (buy)    | BUY (buy)      | BUY (neutro)
