LEGENDA: [N->BUY/SELL] Fusion ajustado ficou neutro, IA indicou direcao; [BUY/SELL->N] Fusion ajustado direcional, IA neutra; [BUY->SELL]/[SELL->BUY] direcao oposta.

ATIVO                         | M5                         | M15                        | M30                        | H1                         | H4                         | D1

AUDCAD [SIGNAL_INVERSION_NEW] x | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | SELL (sell)                 | SELL (buy) [BUY->SELL]
AUDCHF [SIGNAL_INVERSION_NEW] x | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | SELL (sell)                 | SELL (neutro) [N->SELL]
AUDJPY [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (buy)                   | BUY (buy)                   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]
AUDNOK *                      | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | SELL (sell)                 | NEUTRO (neutro)
AUDNZD [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | SELL (buy) [BUY->SELL]      | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]
AUDSEK [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | SELL (buy) [BUY->SELL]      | SELL (sell)                 | SELL (neutro) [N->SELL]
AUDSGD *                      | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | NEUTRO (buy) [BUY->N]       | NEUTRO (neutro)
AUDUSD [SIGNAL_INVERSION] *   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | SELL (sell)                 | SELL (sell)
BTCUSD [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (sell)                 | BUY (buy)                   | BUY (sell) [SELL->BUY]      | BUY (buy)                   | BUY (neutro) [N->BUY]
CADCHF [REMOVE_INVERSION] x   | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | SELL (buy) [BUY->SELL]      | NEUTRO (neutro)
CADJPY [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (sell)                 | BUY (buy)                   | BUY (buy)                   | BUY (neutro) [N->BUY]
CHFDKK *                      | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (neutro) [N->BUY]       | BUY (buy)                   | BUY (neutro) [N->BUY]
CHFJPY [SIGNAL_INVERSION_NEW] x | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | SELL (buy) [BUY->SELL]      | SELL (buy) [BUY->SELL]      | NEUTRO (neutro)             | NEUTRO (neutro)
CHFNOK *                      | BUY (neutro) [N->BUY]       | BUY (sell) [SELL->BUY]      | BUY (buy)                   | BUY (buy)                   | BUY (buy)                   | BUY (neutro) [N->BUY]
ETHUSD [SIGNAL_INVERSION_NEW] x | SELL (sell)                 | SELL (sell)                 | BUY (buy)                   | BUY (sell) [SELL->BUY]      | BUY (sell) [SELL->BUY]      | BUY (neutro) [N->BUY]
EURAUD [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (sell)                 | SELL (sell)
EURCAD [REMOVE_INVERSION] x   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (sell)                 | SELL (neutro) [N->SELL]     | NEUTRO (sell) [SELL->N]     | NEUTRO (neutro)
EURCHF [SIGNAL_INVERSION] *   | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (sell)                 | SELL (sell)                 | SELL (neutro) [N->SELL]
EURGBP [SIGNAL_INVERSION] *   | NEUTRO (neutro)             | NEUTRO (neutro)             | NEUTRO (buy) [BUY->N]       | SELL (sell)                 | NEUTRO (buy) [BUY->N]       | NEUTRO (neutro)
EURHKD [SIGNAL_INVERSION_NEW] x | SELL (neutro) [N->SELL]     | SELL (neutro) [N->SELL]     | SELL (buy) [BUY->SELL]      | SELL (buy) [BUY->SELL]      | SELL (buy) [BUY->SELL]      | SELL (neutro) [N->SELL]
