symbol,signals_total,worst_drawdown_points,worst_p95_drawdown_points,reference_group,suggested_sl_points,suggested_tp_points
AUDJPY,18,149.0,149.0,H1 BUY,165.0,5.0
CADCHF,9,64.0,64.0,M15 BUY,75.0,5.0
CHFJPY,32,90.0,87.0,M15 BUY,100.0,5.0
EURCAD,126,263.0,243.0,H4 BUY,270.0,30.0
EURGBP,26,52.0,51.25,H4 SELL,60.0,35.0
EURNZD,16,96.0,96.0,H1 BUY,110.0,5.0
EURUSD,41,107.0,103.0,H1 BUY,115.0,5.0
GBPCHF,3,25.0,25.0,H1 SELL,30.0,20.0
GBPUSD,46,126.0,125.0,H1 BUY,140.0,15.0
NZDCHF,6,68.0,68.0,H1 BUY,55.0,5.0
NZDSGD,6,67.0,67.0,H1 BUY,75.0,5.0
NZDUSD,35,108.0,89.8,H1 BUY,100.0,5.0
USDCHF,3,36.0,36.0,H1 SELL,40.0,20.0
