symbol,timeframe,side,signals,max_drawdown_net_mae_points,p95_drawdown_net_mae_points,p90_drawdown_net_mae_points,median_drawdown_net_mae_points,median_favorable_net_mfe_points,p75_favorable_net_mfe_points,median_spread_points,suggested_sl_points,suggested_tp_points,tp_sl_ratio
AUDJPY,H1,BUY,18,149.0,149.0,149.0,143.5,-17.0,0.5,27.0,165.0,5.0,0.03
CADCHF,M15,BUY,9,64.0,64.0,64.0,51.0,-30.0,-30.0,36.0,75.0,5.0,0.07
CHFJPY,H1,BUY,3,65.0,65.0,65.0,65.0,86.0,86.0,29.0,75.0,60.0,0.8
CHFJPY,M15,BUY,29,90.0,87.0,60.6,46.0,4.0,6.0,32.0,100.0,5.0,0.05
EURCAD,H4,BUY,126,263.0,243.0,197.0,116.0,20.5,33.75,22.0,270.0,30.0,0.11
EURGBP,H4,SELL,26,52.0,51.25,49.0,43.5,35.0,39.75,16.0,60.0,35.0,0.58
EURNZD,H1,BUY,16,96.0,96.0,95.0,84.5,-25.0,-22.5,34.0,110.0,5.0,0.05
EURUSD,H1,BUY,41,107.0,103.0,100.0,90.0,-4.0,-1.0,13.0,115.0,5.0,0.04
GBPCHF,H1,SELL,3,25.0,25.0,25.0,25.0,34.0,34.0,22.0,30.0,20.0,0.67
GBPUSD,H1,BUY,46,126.0,125.0,120.0,104.5,2.0,16.5,14.0,140.0,15.0,0.11
NZDCHF,H1,BUY,3,48.0,48.0,48.0,48.0,-5.0,-5.0,23.0,55.0,5.0,0.09
NZDCHF,H4,BUY,3,68.0,68.0,68.0,68.0,31.0,31.0,23.0,75.0,30.0,0.4
NZDSGD,H1,BUY,3,67.0,67.0,67.0,67.0,8.0,8.0,36.0,75.0,5.0,0.07
NZDSGD,H4,BUY,3,67.0,67.0,67.0,67.0,121.0,121.0,36.0,75.0,60.0,0.8
NZDUSD,H1,BUY,35,108.0,89.8,81.6,64.0,0.0,2.0,16.0,100.0,5.0,0.05
USDCHF,H1,SELL,3,36.0,36.0,36.0,36.0,24.0,24.0,16.0,40.0,20.0,0.5
